,PUtaxi,subwaystation,time,endbike,startbike
0,4,116,3193.0,3547.0,394.0
1,4,117,2962.0,3536.0,394.0
2,4,118,2770.0,3383.0,394.0
3,4,119,2791.0,3689.0,445.0
4,4,120,2462.0,3314.0,394.0
5,4,121,2436.0,3177.0,394.0
6,4,116,3193.0,3547.0,394.0
7,4,117,2962.0,3536.0,394.0
8,4,118,2770.0,3383.0,394.0
9,4,119,2791.0,3689.0,445.0
10,4,120,2462.0,3314.0,394.0
11,4,121,2436.0,3177.0,394.0
12,4,122,2257.0,3360.0,394.0
13,4,123,2059.0,3175.0,445.0
14,4,124,2023.0,499.0,394.0
15,4,125,1728.0,499.0,394.0
16,4,126,1509.0,500.0,394.0
17,4,127,1263.5,465.0,3632.0
18,4,130,1132.0,334.0,394.0
19,4,131,1015.0,168.0,394.0
20,4,132,787.0,223.0,394.0
21,4,133,910.5,380.0,394.0
22,4,134,1060.0,368.0,394.0
23,4,135,1135.0,377.0,394.0
24,4,138,1438.5,417.0,394.0
25,4,139,1674.0,360.0,394.0
26,4,140,1333.0,534.0,266.0
27,4,142,1302.0,534.0,266.0
28,4,224,3139.0,3529.0,394.0
29,4,225,2955.0,3518.0,445.0
30,4,227,2627.0,3521.0,394.0
31,4,228,1346.0,330.0,394.0
32,4,229,1215.0,376.0,394.0
33,4,230,1248.0,360.0,394.0
34,4,231,1530.0,391.0,394.0
35,4,239,2430.0,3584.0,394.0
36,4,241,3004.0,3590.0,394.0
37,4,242,2927.0,3604.0,394.0
38,4,248,2922.0,3584.0,394.0
39,4,418,1271.0,319.0,394.0
40,4,419,1480.0,360.0,394.0
41,4,420,1397.0,260.0,394.0
42,4,423,1671.0,3440.0,394.0
43,4,621,2611.0,3504.0,394.0
44,4,622,2470.0,3494.0,394.0
45,4,627,1845.0,3438.0,394.0
46,4,628,1491.0,3131.0,445.0
47,4,633,976.0,546.0,394.0
48,4,634,875.0,503.0,394.0
49,4,635,746.0,285.0,394.0
50,4,638,865.0,151.0,394.0
51,4,639,1041.0,257.0,394.0
52,4,716,2293.0,3123.0,394.0
53,4,718,1973.0,3129.0,3632.0
54,4,719,1969.0,3126.0,394.0
55,4,721,1372.0,3608.0,394.0
56,4,723,1193.0,519.0,394.0
57,4,724,1289.0,3680.0,394.0
58,4,725,1290.5,465.0,3632.0
59,4,901,1180.0,519.0,394.0
60,4,902,1279.5,465.0,3632.0
61,4,A14,3564.0,3533.0,394.0
62,4,A15,2988.0,3540.0,394.0
63,4,A17,2760.0,3323.0,394.0
64,4,A20,2169.0,3226.0,394.0
65,4,A21,2015.0,3226.0,394.0
66,4,A24,1733.0,499.0,394.0
67,4,A25,1649.5,450.0,394.0
68,4,A27,1475.5,477.0,394.0
69,4,A28,1272.0,490.0,3632.0
70,4,A30,1223.0,453.0,3632.0
71,4,A31,967.0,3660.0,394.0
72,4,A32,868.0,336.0,394.0
73,4,A33,978.0,128.0,394.0
74,4,A34,1039.0,257.0,394.0
75,4,A36,1273.5,152.0,394.0
76,4,A38,1316.0,376.0,394.0
77,4,A41,1489.0,323.0,394.0
78,4,A42,1689.0,3232.0,394.0
79,4,A47,2246.0,3041.0,394.0
80,4,A48,2517.0,3046.0,394.0
81,4,B04,1873.0,3130.0,394.0
82,4,B06,3347.0,3557.0,394.0
83,4,B08,1543.0,3155.0,394.0
84,4,D14,1638.0,500.0,394.0
85,4,D15,1521.0,3466.0,394.0
86,4,D16,1345.5,465.0,3632.0
87,4,D17,1136.0,498.0,394.0
88,4,D18,1084.0,168.0,394.0
89,4,D19,869.0,345.0,394.0
90,4,D20,868.0,336.0,394.0
91,4,D21,810.0,3427.0,394.0
92,4,D22,769.5,531.0,394.0
93,4,D24,1875.0,83.0,394.0
94,4,D25,2273.0,3415.0,394.0
