PUtaxi,subwaystation,time
4,116,3193.0
4,117,2962.0
4,118,2770.0
4,119,
4,120,2462.0
4,121,
4,122,2257.0
4,123,2059.0
4,124,2023.0
4,125,1728.0
4,126,1509.0
4,127,1263.5
4,128,1060.0
4,129,1081.0
4,130,1132.0
4,131,1015.0
4,132,788.0
4,133,910.5
4,134,1060.0
4,135,1135.0
4,136,1136.0
4,137,1225.0
4,138,1438.5
4,139,1674.0
4,140,1333.0
4,142,1302.0
4,224,3139.0
4,225,
4,226,2691.0
4,227,2627.0
4,228,1346.0
4,229,1215.0
4,230,1248.0
4,231,1530.0
4,232,1637.0
4,233,1602.0
4,234,1704.0
4,235,1800.0
4,236,2018.0
4,237,2353.0
4,238,2561.0
4,239,2430.0
4,241,
4,242,2927.0
4,248,
4,418,1271.0
4,419,1480.0
4,420,1397.0
4,423,1671.0
4,621,2611.0
4,622,2470.0
4,623,2390.0
4,624,2155.0
4,625,2137.0
4,626,2006.0
4,627,1845.0
4,628,1491.0
4,629,1514.0
4,630,1231.0
4,631,1122.0
4,632,922.0
4,633,976.0
4,634,875.0
4,635,746.0
4,636,534.0
4,637,676.0
4,638,865.0
4,639,1041.0
4,640,1096.0
4,716,2293.0
4,718,1973.0
4,719,
4,720,1837.0
4,721,1372.0
4,723,1193.0
4,724,1289.0
4,725,1290.5
4,726,1436.0
4,901,1180.0
4,902,1279.5
4,A14,
4,A15,2988.0
4,A16,2779.0
4,A17,2760.0
4,A18,2403.0
4,A19,2253.0
4,A20,2169.0
4,A21,2015.0
4,A22,1848.0
4,A24,1733.0
4,A25,1649.5
4,A27,1475.5
4,A28,1272.0
4,A30,1223.0
4,A31,967.0
4,A32,868.0
4,A33,978.0
4,A34,1039.0
4,A36,1273.5
4,A38,1316.0
4,A40,1514.0
4,A41,1489.0
4,A42,
4,A43,1911.0
4,A44,2074.0
4,A45,2249.0
4,A46,2245.0
4,A47,2246.0
4,A48,2517.0
4,B04,1873.0
4,B06,3347.0
4,B08,1543.0
4,B10,1652.0
4,D14,1638.0
4,D15,1521.0
4,D16,1345.5
4,D17,1136.0
4,D18,1084.0
4,D19,870.0
4,D20,868.0
4,D21,810.0
4,D22,769.5
4,D24,1875.0
4,D25,2273.0
4,D26,2841.0
4,E01,1262.5
4,F09,
4,F11,1180.0
4,113,4893.0
4,114,4158.0
4,115,3735.0
4,220,4815.0
4,221,4195.0
4,222,4169.0
4,243,3434.0
4,244,3937.0
4,245,4430.0
4,249,2922.0
4,250,3271.0
4,251,4204.0
4,252,4762.0
4,301,4137.0
4,302,3745.0
4,414,4819.0
4,415,4117.0
4,416,3675.0
4,616,4754.0
