,startid,endid
0,3677,3677
1,3677,3193
2,3677,3194
3,3677,3678
4,3677,3679
5,3193,3677
6,3193,3193
7,3193,3194
8,3193,3678
9,3193,3679
10,3194,3677
11,3194,3193
12,3194,3194
13,3194,3678
14,3194,3679
15,3678,3677
16,3678,3193
17,3678,3194
18,3678,3678
19,3678,3679
20,3679,3677
21,3679,3193
22,3679,3194
23,3679,3678
24,3679,3679
25,3677,495
26,3677,508
27,3677,515
28,3677,479
29,3677,480
30,3193,495
31,3193,508
32,3193,515
33,3193,479
34,3193,480
35,3194,495
36,3194,508
37,3194,515
38,3194,479
39,3194,480
40,3678,495
41,3678,508
42,3678,515
43,3678,479
44,3678,480
45,3679,495
46,3679,508
47,3679,515
48,3679,479
49,3679,480
50,3677,347
51,3677,328
52,3677,3474
53,3677,128
54,3677,127
55,3193,347
56,3193,328
57,3193,3474
58,3193,128
59,3193,127
60,3194,347
61,3194,328
62,3194,3474
63,3194,128
64,3194,127
65,3678,347
66,3678,328
67,3678,3474
68,3678,128
69,3678,127
70,3679,347
71,3679,328
72,3679,3474
73,3679,128
74,3679,127
75,3677,3528
76,3677,3522
77,3677,3691
78,3677,3519
79,3677,3616
80,3193,3528
81,3193,3522
82,3193,3691
83,3193,3519
84,3193,3616
85,3194,3528
86,3194,3522
87,3194,3691
88,3194,3519
89,3194,3616
90,3678,3528
91,3678,3522
92,3678,3691
93,3678,3519
94,3678,3616
95,3679,3528
96,3679,3522
97,3679,3691
98,3679,3519
99,3679,3616
100,3677,454
101,3677,516
102,3677,441
103,3677,164
104,3677,455
105,3193,454
106,3193,516
107,3193,441
108,3193,164
109,3193,455
110,3194,454
111,3194,516
112,3194,441
113,3194,164
114,3194,455
115,3678,454
116,3678,516
117,3678,441
118,3678,164
119,3678,455
120,3679,454
121,3679,516
122,3679,441
123,3679,164
124,3679,455
125,3677,3077
126,3677,3071
127,3677,3073
128,3677,3069
129,3677,3080
130,3193,3077
131,3193,3071
132,3193,3073
133,3193,3069
134,3193,3080
135,3194,3077
136,3194,3071
137,3194,3073
138,3194,3069
139,3194,3080
140,3678,3077
141,3678,3071
142,3678,3073
143,3678,3069
144,3678,3080
145,3679,3077
146,3679,3071
147,3679,3073
148,3679,3069
149,3679,3080
150,3677,358
153,3677,346
154,3677,247
155,3193,358
158,3193,346
159,3193,247
160,3194,358
163,3194,346
164,3194,247
165,3678,358
168,3678,346
169,3678,247
170,3679,358
173,3679,346
174,3679,247
175,3505,3505
176,3505,3529
177,3505,3622
178,3505,3531
179,3505,3629
180,3622,3505
181,3622,3529
182,3622,3622
183,3622,3531
184,3622,3629
185,3499,3505
186,3499,3529
187,3499,3622
188,3499,3531
189,3499,3629
190,3504,3505
191,3504,3529
192,3504,3622
193,3504,3531
194,3504,3629
195,3507,3505
196,3507,3529
197,3507,3622
198,3507,3531
199,3507,3629
402,3505,3504
