,origin,destination,length
0,132.0,1.0,19683.5
1,132.0,2.0,11793.0
2,132.0,3.0,3043.5
3,132.0,4.0,1657.0
4,132.0,5.0,6048.0
5,132.0,6.0,4954.0
6,132.0,7.0,2262.5
7,132.0,8.0,2672.0
8,132.0,9.0,3727.0
9,132.0,10.0,4888.0
10,132.0,11.0,2771.0
11,132.0,12.0,1928.0
12,132.0,13.0,1885.5
13,132.0,14.0,2978.0
14,132.0,15.0,7561.0
15,132.0,16.0,3534.0
16,132.0,17.0,2176.0
17,132.0,18.0,2915.0
18,132.0,19.0,4490.0
19,132.0,20.0,3118.5
20,132.0,21.0,2490.0
21,132.0,22.0,2589.0
22,132.0,23.0,8157.0
23,132.0,24.0,1770.0
24,132.0,25.0,1696.5
25,132.0,26.0,1553.0
26,132.0,27.0,8623.0
27,132.0,28.0,2861.0
28,132.0,29.0,2004.0
29,132.0,30.0,4145.0
30,132.0,31.0,2587.0
31,132.0,32.0,2699.5
32,132.0,33.0,1872.0
33,132.0,34.0,2398.0
34,132.0,35.0,2877.0
35,132.0,36.0,3153.0
36,132.0,37.0,2797.0
37,132.0,38.0,5622.0
38,132.0,39.0,3436.0
39,132.0,40.0,1575.0
40,132.0,41.0,2259.0
41,132.0,42.0,2422.0
42,132.0,43.0,2308.0
43,132.0,44.0,7615.0
44,132.0,45.0,1622.0
45,132.0,46.0,7145.0
46,132.0,47.0,3160.5
47,132.0,48.0,1940.0
48,132.0,49.0,1908.0
49,132.0,50.0,2174.0
50,132.0,51.0,4041.5
51,132.0,52.0,1572.0
52,132.0,53.0,5120.0
53,132.0,54.0,1626.0
54,132.0,55.0,2277.0
55,132.0,56.0,2536.0
56,132.0,57.0,2536.0
57,132.0,58.0,4373.0
58,132.0,59.0,2655.5
59,132.0,60.0,2302.5
60,132.0,61.0,2027.0
61,132.0,62.0,2027.0
62,132.0,63.0,2774.0
63,132.0,64.0,3348.0
64,132.0,65.0,1594.0
65,132.0,66.0,1779.0
66,132.0,67.0,3191.0
67,132.0,68.0,1972.0
68,132.0,69.0,2396.0
69,132.0,70.0,4770.0
70,132.0,71.0,3242.0
71,132.0,72.0,2201.0
72,132.0,73.0,3847.0
73,132.0,74.0,2522.0
74,132.0,75.0,2522.0
75,132.0,76.0,3774.0
76,132.0,77.0,3253.0
77,132.0,78.0,2590.5
78,132.0,79.0,1429.0
79,132.0,80.0,3189.0
80,132.0,81.0,3857.5
81,132.0,82.0,1715.0
82,132.0,83.0,1542.0
83,132.0,84.0,5203.0
84,132.0,85.0,1462.0
85,132.0,86.0,5840.0
86,132.0,87.0,1611.0
87,132.0,88.0,1611.0
88,132.0,89.0,1051.0
89,132.0,90.0,1907.0
90,132.0,91.0,3011.0
91,132.0,92.0,3259.0
92,132.0,93.0,3827.0
93,132.0,94.0,2831.0
94,132.0,95.0,2733.0
95,132.0,96.0,3446.0
96,132.0,97.0,1879.0
97,132.0,98.0,5109.0
98,132.0,99.0,10181.0
99,132.0,100.0,2039.0
100,132.0,101.0,5766.0
101,132.0,102.0,3610.0
102,132.0,103.0,2966.0
103,132.0,104.0,2966.0
104,132.0,105.0,2966.0
105,132.0,106.0,1346.0
106,132.0,107.0,2039.0
107,132.0,108.0,2735.0
108,132.0,109.0,5150.0
109,132.0,110.0,5987.0
110,132.0,111.0,1677.0
111,132.0,112.0,2871.0
112,132.0,113.0,1690.0
113,132.0,114.0,1690.0
114,132.0,115.0,4471.0
115,132.0,116.0,1928.0
116,132.0,117.0,3956.0
117,132.0,118.0,7403.0
118,132.0,119.0,1857.0
119,132.0,120.0,1768.0
120,132.0,121.0,4935.0
121,132.0,122.0,3584.0
122,132.0,123.0,1802.0
123,132.0,124.0,4510.0
124,132.0,125.0,1812.0
125,132.0,126.0,3864.5
126,132.0,127.0,1826.5
127,132.0,128.0,1577.5
128,132.0,129.0,3086.0
129,132.0,130.0,3686.0
130,132.0,131.0,3836.0
131,132.0,132.0,3467.0
132,132.0,133.0,0.0
133,132.0,134.0,3120.0
134,132.0,135.0,4908.0
135,132.0,136.0,3091.0
136,132.0,137.0,2211.0
137,132.0,138.0,5307.0
138,132.0,139.0,4086.0
139,132.0,140.0,2144.0
140,132.0,141.0,2144.0
141,132.0,142.0,1690.0
142,132.0,143.0,1674.0
143,132.0,144.0,1744.5
144,132.0,145.0,2100.5
145,132.0,146.0,1533.5
146,132.0,147.0,2271.5
147,132.0,148.0,1960.0
148,132.0,149.0,2176.0
149,132.0,150.0,1827.0
150,132.0,151.0,1552.0
151,132.0,152.0,1607.0
152,132.0,153.0,2036.0
153,132.0,154.0,8086.0
154,132.0,155.0,3655.0
155,132.0,156.0,9092.0
156,132.0,157.0,1672.5
157,132.0,158.0,1893.0
158,132.0,159.0,3194.0
159,132.0,160.0,3635.0
160,132.0,161.0,1687.0
161,132.0,162.0,2241.0
162,132.0,163.0,2139.0
163,132.0,164.0,2056.0
164,132.0,165.0,1690.0
165,132.0,166.0,2053.0
166,132.0,167.0,2214.0
167,132.0,168.0,1872.0
168,132.0,169.0,2700.0
169,132.0,170.0,2343.0
170,132.0,171.0,3357.0
171,132.0,172.0,5855.0
172,132.0,173.0,2061.0
173,132.0,174.0,2023.0
174,132.0,175.0,4973.0
175,132.0,176.0,5681.0
176,132.0,177.0,1266.0
177,132.0,178.0,1266.0
178,132.0,179.0,2313.0
179,132.0,180.0,2643.0
180,132.0,181.0,1131.0
181,132.0,182.0,3398.0
182,132.0,183.0,3485.0
183,132.0,184.0,6160.0
184,132.0,185.0,2528.0
185,132.0,186.0,1993.0
186,132.0,187.0,6985.0
187,132.0,188.0,2011.0
188,132.0,189.0,1429.0
189,132.0,190.0,1721.0
190,132.0,191.0,3769.0
191,132.0,192.0,3259.0
192,132.0,193.0,2039.5
193,132.0,194.0,2902.0
194,132.0,195.0,1604.0
195,132.0,196.0,2688.0
196,132.0,197.0,3098.0
197,132.0,198.0,3085.0
198,132.0,199.0,5316.0
199,132.0,200.0,4017.0
200,132.0,201.0,4421.0
201,132.0,202.0,2156.5
202,132.0,203.0,4176.0
203,132.0,204.0,5920.0
204,132.0,205.0,3801.0
205,132.0,206.0,4058.0
206,132.0,207.0,3313.0
207,132.0,208.0,6208.0
208,132.0,209.0,1910.0
209,132.0,210.0,1768.0
210,132.0,211.0,1663.0
211,132.0,212.0,2010.0
212,132.0,213.0,3235.0
213,132.0,214.0,5681.0
214,132.0,215.0,4692.0
215,132.0,216.0,2000.0
