destination,orign,time,all-electrified
1,132,20529.0,19303.0
3,132,3675.0,2991.4
4,132,2866.0,1619.8
5,132,6628.0,5980.0
6,132,5534.0,4886.0
7,132,2610.0,2102.6
9,132,3760.0,3611.6000000000004
10,132,3182.0,4814.2
11,132,3944.0,2771.0
12,132,2784.0,1928.0
13,132,2732.0,1779.8
14,132,3737.5,2978.0
15,132,7716.5,7445.6
16,132,3567.0,3418.6000000000004
17,132,2335.5,1967.2
18,132,3866.0,2858.8
19,132,2784.0,4416.2
20,132,4284.0,3066.4
21,132,3645.5,2490.0
22,132,3762.0,2589.0
23,132,8737.0,8089.0
24,132,2824.0,1708.2
25,132,2514.0,1656.4
26,132,3621.0,1553.0
27,132,6160.5,8493.4
28,132,1642.0,2766.6000000000004
29,132,3727.0,2004.0
30,132,2031.0,4015.4
31,132,3517.5,2531.8
32,132,3802.5,2647.4
33,132,2642.0,1866.6
34,132,2594.0,2138.2
35,132,2431.0,2803.2
36,132,2614.0,3023.4
37,132,2258.0,2667.4
38,132,3916.0,5548.2
39,132,2990.0,3362.2
40,132,2909.0,1534.8
41,132,3152.0,2189.4
42,132,3130.0,2324.0
43,132,3092.0,2234.3999999999996
45,132,2520.5,1580.6
46,132,7720.0,7015.4
47,132,4153.0,3108.4
48,132,2666.5,1837.4
49,132,2267.0,1728.6
50,132,2626.5,2013.8000000000002
51,132,4499.0,3989.4
52,132,2731.0,1515.2
53,132,5275.5,5004.6
54,132,2847.0,1542.1999999999998
55,132,4000.0,2277.0
56,132,2691.5,2420.6000000000004
57,132,2691.5,2420.6000000000004
58,132,4948.0,4243.4
60,132,3468.0,2250.4
61,132,2856.0,1953.2
62,132,2856.0,1953.2
63,132,2132.0,2644.4
64,132,3381.0,3232.6000000000004
65,132,2466.0,1594.0
66,132,2657.0,1777.2
67,132,4221.5,3191.0
68,132,2885.5,1877.6000000000001
69,132,3106.0,2340.4
70,132,4803.0,4654.6
71,132,4444.0,3242.0
72,132,2652.5,2028.2
73,132,3880.0,3731.6000000000004
74,132,3143.0,2420.6
75,132,3143.0,2420.6
76,132,3223.0,3700.2
77,132,2807.0,3179.2
78,132,3756.0,2538.4
79,132,2514.0,1391.8
80,132,3376.0,3056.4
81,132,4315.0,3805.4
82,132,2096.0,1620.6000000000001
83,132,2264.0,1434.8000000000002
84,132,5783.0,5135.0
85,132,3150.0,1462.0
86,132,3876.0,5766.2
87,132,2597.0,1611.0
88,132,2597.0,1611.0
89,132,2984.0,1051.0
90,132,2830.0,1907.0
91,132,4399.0,3011.0
92,132,3414.5,3143.6000000000004
93,132,3383.0,3711.6000000000004
94,132,3494.0,2775.4
95,132,1568.0,2638.6000000000004
96,132,2804.0,3316.4
97,132,2199.0,1718.2000000000003
98,132,4070.0,5014.6
100,132,2429.0,2021.4
101,132,4060.0,5692.2
102,132,3002.0,3435.0
106,132,2770.0,1326.8
107,132,2996.5,1950.4
108,132,3999.5,2735.0
109,132,5730.0,5082.0
112,132,3275.5,2661.6
113,132,2648.0,1654.8
114,132,2648.0,1654.8
115,132,5051.0,4403.0
116,132,2551.0,1813.6000000000001
117,132,1669.5,3826.4
118,132,7983.0,7335.0
119,132,2407.0,1700.3999999999999
121,132,3727.0,4840.6
122,132,1878.0,3510.2
123,132,3525.0,1802.0
124,132,2396.0,4380.4
125,132,2930.0,1785.6
126,132,4741.0,3812.4
127,132,2720.0,1709.8
128,132,2671.0,1524.6
129,132,2873.0,2970.6000000000004
130,132,2030.0,3603.0
131,132,2488.0,3741.6000000000004
133,132,3625.0,0.0
134,132,1822.0,2945.0
135,132,4334.0,4792.6
136,132,3758.0,3035.4
137,132,2913.0,2135.0
138,132,5340.0,5191.6
139,132,2380.0,4012.2
140,132,2938.0,2058.0
141,132,2938.0,2058.0
142,132,2569.0,1604.0
143,132,2553.0,1588.0
144,132,2477.0,1682.8
145,132,2621.0,2003.0
146,132,2484.0,1475.4
147,132,3437.0,2219.4
148,132,2681.5,1904.4
149,132,3894.0,2176.0
150,132,2831.5,1751.8
151,132,2671.0,1490.2
152,132,2611.0,1537.4
153,132,2726.5,1888.8000000000002
154,132,7866.5,8086.0
155,132,5193.0,3655.0
156,132,9672.0,9024.0
157,132,2657.0,1610.6
158,132,2825.5,1821.2
159,132,3828.0,3138.4
160,132,3106.0,3540.6000000000004
161,132,2596.5,1598.2
162,132,2894.5,2146.6000000000004
163,132,2537.0,2018.4
164,132,2675.0,2050.2000000000003
165,132,3642.0,1690.0
166,132,2966.0,1991.2
167,132,2823.0,2052.0
168,132,2664.0,1770.6
169,132,3358.0,2644.4
170,132,2956.0,2185.0
171,132,3390.0,3241.6000000000004
172,132,6435.0,5787.0
173,132,2282.5,1945.6000000000001
174,132,2981.5,1966.8
175,132,5006.0,4857.6
176,132,6261.0,5613.0
177,132,3962.0,1266.0
178,132,3962.0,1266.0
179,132,2956.0,2277.6
180,132,1078.0,2513.4
181,132,2846.0,1131.0
182,132,4091.0,3268.4
183,132,4060.0,3355.4
184,132,6735.0,6030.4
185,132,3458.5,2472.8
186,132,2751.0,1993.0
187,132,7565.0,6917.0
188,132,2921.0,2011.0
189,132,2511.0,1335.2
190,132,3104.0,1721.0
191,132,2063.0,3695.2
192,132,3414.5,3143.6000000000004
193,132,2687.0,1936.2
194,132,4163.0,2800.6
195,132,2497.0,1594.2
196,132,2159.0,2593.6000000000004
197,132,1800.0,2923.0
198,132,2546.0,2844.4
200,132,4366.0,3854.2
201,132,1958.5,4291.4
202,132,2581.0,2098.4
203,132,2470.0,4102.2
204,132,6500.0,5852.0
205,132,2095.0,3727.2
206,132,4638.0,3990.0
208,132,6783.0,6078.4
209,132,2475.0,1851.6
210,132,3491.0,1768.0
211,132,2854.0,1627.8
212,132,2733.5,1880.4
213,132,3958.5,3105.4
214,132,6261.0,5613.0
215,132,3036.0,4609.0
216,132,2728.0,1883.6
217,132,2690.5,1751.6
218,132,2642.0,4274.2
219,132,2642.0,4274.2
220,132,3083.0,2444.0
221,132,4652.0,4004.0
222,132,4039.0,4411.2
223,132,2546.0,1742.6
224,132,2483.0,1560.2
225,132,2391.0,2179.2
226,132,2207.0,2147.4
227,132,2911.5,1982.0
228,132,2643.5,1900.0
229,132,2800.0,1620.6000000000001
230,132,2453.5,1984.2
231,132,2779.5,1689.8
232,132,2522.0,1688.0
233,132,2894.5,2146.6000000000004
234,132,2734.0,1691.0
235,132,3693.0,2814.4
236,132,2856.0,1727.0
237,132,2710.0,1774.0
238,132,2478.0,1796.3999999999999
239,132,2294.0,1612.3999999999999
240,132,4325.0,3813.2
241,132,2109.0,1597.1999999999998
242,132,2265.0,1771.1999999999998
243,132,2221.0,1488.0
244,132,2127.0,1644.0
245,132,2324.0,1691.1999999999998
246,132,2665.0,1977.2
247,132,2657.0,1578.4
248,132,2669.0,1451.4
249,132,2544.0,1465.4
250,132,3688.5,2835.4
251,132,2732.0,1577.8
252,132,2722.0,1694.6
253,132,2733.0,1820.1999999999998
254,132,2721.5,1735.8
255,132,2902.5,2357.8
256,132,2497.0,2137.8
257,132,2482.0,1243.0
258,132,1953.0,1582.0
259,132,2475.0,1827.0
260,132,2270.0,1740.6
261,132,2402.0,1670.2
