,origin,destination,length
0,132.0,1.0,19303.0
1,132.0,2.0,11663.4
2,132.0,3.0,2991.4
3,132.0,4.0,1619.8
4,132.0,5.0,5980.0
5,132.0,6.0,4886.0
6,132.0,7.0,2102.6
7,132.0,8.0,2538.6
8,132.0,9.0,3611.6000000000004
9,132.0,10.0,4814.2
10,132.0,11.0,2771.0
11,132.0,12.0,1928.0
12,132.0,13.0,1779.8
13,132.0,14.0,2978.0
14,132.0,15.0,7445.6
15,132.0,16.0,3418.6000000000004
16,132.0,17.0,1967.2
17,132.0,18.0,2858.8
18,132.0,19.0,4416.2
19,132.0,20.0,3066.4
20,132.0,21.0,2490.0
21,132.0,22.0,2589.0
22,132.0,23.0,8089.0
23,132.0,24.0,1708.2
24,132.0,25.0,1656.4
25,132.0,26.0,1553.0
26,132.0,27.0,8493.4
27,132.0,28.0,2766.6000000000004
28,132.0,29.0,2004.0
29,132.0,30.0,4015.4
30,132.0,31.0,2531.8
31,132.0,32.0,2647.4
32,132.0,33.0,1866.6
33,132.0,34.0,2138.2
34,132.0,35.0,2803.2
35,132.0,36.0,3023.4
36,132.0,37.0,2667.4
37,132.0,38.0,5548.2
38,132.0,39.0,3362.2
39,132.0,40.0,1534.8
40,132.0,41.0,2189.4
41,132.0,42.0,2324.0
42,132.0,43.0,2234.3999999999996
43,132.0,44.0,7547.0
44,132.0,45.0,1580.6
45,132.0,46.0,7015.4
46,132.0,47.0,3108.4
47,132.0,48.0,1837.4
48,132.0,49.0,1728.6
49,132.0,50.0,2013.8000000000002
50,132.0,51.0,3989.4
51,132.0,52.0,1515.2
52,132.0,53.0,5004.6
53,132.0,54.0,1542.1999999999998
54,132.0,55.0,2277.0
55,132.0,56.0,2420.6000000000004
56,132.0,57.0,2420.6000000000004
57,132.0,58.0,4243.4
58,132.0,59.0,2603.4
59,132.0,60.0,2250.4
60,132.0,61.0,1953.2
61,132.0,62.0,1953.2
62,132.0,63.0,2644.4
63,132.0,64.0,3232.6000000000004
64,132.0,65.0,1594.0
65,132.0,66.0,1777.2
66,132.0,67.0,3191.0
67,132.0,68.0,1877.6000000000001
68,132.0,69.0,2340.4
69,132.0,70.0,4654.6
70,132.0,71.0,3242.0
71,132.0,72.0,2028.2
72,132.0,73.0,3731.6000000000004
