,start station id,count
3186,3186,11613
3183,3183,6905
3203,3203,6703
3195,3195,5031
3267,3267,4258
3202,3202,4184
3187,3187,3705
3199,3199,3373
3211,3211,3231
3213,3213,3079
3214,3214,3001
3276,3276,2884
3275,3275,2823
3185,3185,2774
3184,3184,2769
3192,3192,2651
3209,3209,2510
3272,3272,2365
3270,3270,2183
3194,3194,2114
3269,3269,2048
3205,3205,1939
3279,3279,1748
3273,3273,1735
3278,3278,1697
3207,3207,1544
3225,3225,1378
3268,3268,962
3206,3206,958
3210,3210,899
3212,3212,872
3193,3193,814
3220,3220,781
3280,3280,716
3198,3198,682
3196,3196,671
3281,3281,592
3201,3201,484
3190,3190,427
3197,3197,400
3277,3277,335
3215,3215,313
3191,3191,261
3481,3481,132
3189,3189,114
3271,3271,109
3216,3216,102
3217,3217,99
3200,3200,67
3188,3188,59
3274,3274,10
3426,3426,1
