origin,destination,number_of_appearance
479,495,4
522,454,96
3593,3603,60
394,293,38
309,3002,4
312,309,4
394,312,3
3432,3403,519
3263,3432,859
394,3263,23
3062,3054,48
394,433,4
394,223,14
3324,3412,20
3432,3324,90
401,531,4
394,401,4
3674,391,5
410,307,7
394,410,12
282,2005,5
394,282,2
3397,3396,46
3401,3397,44
3432,3401,122
3518,3629,58
3505,3518,39
295,296,5
394,295,1
394,350,1
3637,399,30
3632,479,3
394,3632,2
3398,3308,19
3432,3398,19
3401,3394,38
266,3142,1
394,266,1
336,369,5
394,336,5
326,402,1
394,326,6
323,262,22
533,523,59
465,533,163
3324,3399,56
326,325,3
349,3106,3
394,349,2
394,380,3
394,476,1
3122,3125,1
394,3122,1
3615,3128,63
349,356,2
3314,3350,71
394,3686,1
3235,3466,4
519,3235,3
394,454,2
536,518,1
394,536,1
3572,3522,54
3313,3297,58
3432,3313,90
3576,3574,52
3313,3576,18
3313,3300,14
3615,3560,34
3669,3342,56
3401,3669,40
331,279,2
394,331,1
3260,3467,2
394,3260,1
3572,3616,96
3067,3052,2
432,3067,9
394,432,1
441,3243,2
393,441,3
394,393,1
326,285,1
3284,3294,74
3485,3438,10
326,3485,5
434,509,1
394,434,1
3438,3140,47
3438,3148,2
3603,3593,116
3603,3524,1
3593,3572,35
3486,3412,32
3603,3517,5
173,495,35
3625,3142,2
3603,3625,1
3603,3616,6
274,3429,48
293,432,44
503,325,10
3476,3108,33
364,396,27
472,476,37
281,3356,6
3559,3130,12
3603,3559,2
151,356,8
285,3686,14
3459,454,66
533,362,39
519,167,27
3517,3522,25
364,3574,13
3603,3560,1
387,306,25
443,282,5
3113,443,3
3065,3052,35
2022,3243,3
3603,2022,1
3592,3140,2
3603,3592,1
3605,3603,11
3513,3605,2
3524,3513,8
195,3002,30
3513,3516,5
3556,3615,1
3513,3556,1
3523,3522,1
3524,3523,1
3605,3559,3
410,394,2
311,410,2
529,495,14
3155,3142,43
311,317,3
490,498,20
490,523,10
498,325,8
490,472,5
3155,3131,16
3615,3125,75
490,3686,4
490,533,15
3459,518,8
490,3641,6
3459,3243,52
3135,3140,7
3155,3135,7
545,394,1
2008,3002,1
3041,3050,20
3242,3386,1
2009,350,1
243,399,4
3134,3142,17
545,325,1
3090,3106,22
331,291,2
427,331,1
2008,3686,1
465,3466,30
3346,3297,6
3418,3346,6
376,351,1
304,376,1
385,3243,15
522,385,15
2008,309,1
2009,307,1
223,509,6
3147,3148,26
3002,146,38
400,394,2
146,400,2
3002,195,52
3002,2008,7
3002,319,13
363,304,22
3002,363,22
195,360,4
391,3386,5
3002,417,8
3489,355,2
195,3489,4
295,350,1
330,295,1
146,330,1
391,3308,8
391,3394,2
223,402,5
285,325,5
3002,3108,1
351,291,3
195,351,3
3002,3686,1
3182,3342,1
3002,3182,1
195,306,1
195,259,15
3042,3052,32
3002,309,1
3489,307,3
3403,3669,6
3429,274,10
317,394,1
3050,317,2
3179,3065,12
3054,3179,16
3637,467,3
3048,3637,17
3050,3048,28
3429,3412,5
3637,3429,1
289,2005,1
3241,289,4
3241,3584,7
3048,437,5
3382,3386,21
289,364,3
505,492,209
3054,3069,2
289,399,2
3409,3308,32
3459,3142,17
3054,3074,1
3048,396,2
420,262,1
3241,420,1
3306,3399,1
3048,3306,4
3061,3108,1
3054,3061,1
504,476,6
3054,3453,2
3459,3131,11
3241,3574,1
373,282,1
3054,373,1
3054,3087,1
3459,3140,5
467,3412,2
3403,3396,2
433,394,32
152,304,11
152,3002,25
324,3412,17
3093,2005,13
3689,3531,2
3314,3295,2
533,267,132
3350,3341,18
3689,3551,4
402,325,20
3119,3108,8
533,540,12
3289,3131,4
3350,3289,6
311,350,38
380,3686,21
3536,3504,8
460,282,25
3093,460,25
3350,3294,2
3145,3146,5
3285,3145,21
3289,3140,5
3350,3288,2
