PUtaxi,subwaystation,time,endbike,startbike
4,116,3193.0,3547.0,394.0
4,117,2962.0,3536.0,394.0
4,118,2770.0,3383.0,394.0
4,119,2791.0,3689.0,445.0
4,120,2462.0,3314.0,394.0
4,121,2436.0,3177.0,394.0
4,122,2257.0,3360.0,394.0
4,123,2059.0,3175.0,445.0
4,124,2023.0,499.0,394.0
4,125,1728.0,499.0,394.0
4,126,1509.0,500.0,394.0
4,127,1263.5,465.0,3632.0
4,128,1060.0,492.0,394.0
4,129,1081.0,442.0,394.0
4,130,1132.0,334.0,394.0
4,131,1015.0,168.0,394.0
4,132,787.0,223.0,394.0
4,133,910.5,380.0,394.0
4,134,1060.0,368.0,394.0
4,135,1135.0,377.0,394.0
4,136,1136.0,79.0,394.0
4,137,1225.0,146.0,394.0
4,138,1438.5,417.0,394.0
4,139,1674.0,360.0,394.0
4,140,1333.0,534.0,266.0
4,142,1302.0,534.0,266.0
4,224,3139.0,3529.0,394.0
4,225,2955.0,3518.0,445.0
4,226,2691.0,3628.0,394.0
4,227,2627.0,3521.0,394.0
4,228,1346.0,330.0,394.0
4,229,1215.0,376.0,394.0
4,230,1248.0,360.0,394.0
4,231,1530.0,391.0,394.0
4,232,1637.0,3440.0,394.0
4,233,1602.0,323.0,394.0
4,234,1704.0,3232.0,394.0
4,235,1800.0,3429.0,394.0
4,236,2018.0,3414.0,394.0
4,237,2353.0,3418.0,394.0
4,238,2576.0,3583.0,394.0
4,239,2430.0,3584.0,394.0
4,241,3004.0,3590.0,394.0
4,242,2927.0,3604.0,394.0
4,248,2922.0,3584.0,394.0
4,418,1271.0,319.0,394.0
4,419,1480.0,360.0,394.0
4,420,1397.0,260.0,394.0
4,423,1671.0,3440.0,394.0
4,621,2611.0,3504.0,394.0
4,622,2470.0,3494.0,394.0
4,623,2390.0,3502.0,394.0
4,624,2155.0,3379.0,394.0
4,625,2137.0,3675.0,394.0
4,626,2006.0,3147.0,394.0
4,627,1845.0,3438.0,394.0
4,628,1491.0,3131.0,445.0
4,629,1514.0,305.0,394.0
4,630,1231.0,522.0,394.0
4,631,1234.0,519.0,445.0
4,632,922.0,472.0,394.0
4,633,976.0,546.0,394.0
4,634,875.0,503.0,394.0
4,635,746.0,285.0,394.0
4,636,534.0,3263.0,394.0
4,637,676.0,229.0,394.0
4,638,865.0,151.0,394.0
4,639,1067.0,268.0,394.0
4,640,1098.0,387.0,394.0
4,716,2293.0,3123.0,394.0
4,718,1973.0,3129.0,3632.0
4,719,1969.0,3126.0,394.0
4,720,2234.0,3121.0,394.0
4,721,1483.0,3119.0,3632.0
4,723,1230.5,167.0,394.0
4,724,1289.0,3680.0,394.0
4,725,1290.5,465.0,3632.0
4,726,1564.0,525.0,3632.0
4,901,1225.0,3235.0,394.0
4,902,1279.5,465.0,3632.0
4,A14,3564.0,3533.0,394.0
4,A15,2988.0,3540.0,394.0
4,A16,3006.0,3630.0,3632.0
4,A17,2803.0,3374.0,394.0
4,A18,2599.0,3341.0,339.0
4,A19,2449.0,3295.0,339.0
4,A20,2169.0,3226.0,394.0
4,A21,2015.0,3226.0,394.0
4,A22,1960.0,3165.0,445.0
4,A24,1733.0,499.0,394.0
4,A25,1649.5,450.0,394.0
4,A27,1475.5,477.0,394.0
4,A28,1272.0,490.0,3632.0
4,A30,1223.0,453.0,3632.0
4,A31,967.0,3660.0,394.0
4,A32,872.0,369.0,445.0
4,A33,978.0,128.0,394.0
4,A34,1245.0,377.0,394.0
4,A36,1273.5,152.0,394.0
4,A38,1316.0,376.0,394.0
4,A40,1602.0,407.0,394.0
4,A41,1489.0,323.0,394.0
4,A42,1689.0,3232.0,394.0
4,A43,1919.0,274.0,394.0
4,A44,2074.0,3637.0,394.0
4,A45,2479.0,396.0,266.0
4,A46,2245.0,3249.0,394.0
4,A47,2246.0,3041.0,394.0
4,A48,2517.0,3046.0,394.0
4,B04,1873.0,3130.0,394.0
4,B06,3347.0,3557.0,394.0
4,B08,1543.0,3155.0,394.0
4,B10,1764.0,3458.0,445.0
4,D14,1638.0,500.0,394.0
4,D15,1521.0,3466.0,394.0
4,D16,1345.5,465.0,3632.0
4,D17,1136.0,498.0,394.0
4,D18,1084.0,168.0,394.0
4,D19,869.0,345.0,394.0
4,D20,868.0,336.0,394.0
4,D21,810.0,3427.0,394.0
4,D22,769.5,531.0,394.0
4,D24,1875.0,83.0,394.0
4,D25,2273.0,3415.0,394.0
4,D26,2841.0,3599.0,394.0
4,E01,1262.5,417.0,394.0
4,F09,1943.0,3615.0,445.0
4,F11,1180.0,3459.0,394.0
4,113,4893.0,3547.0,394.0
4,114,4158.0,3547.0,394.0
4,115,3735.0,3547.0,394.0
4,220,4815.0,3498.0,394.0
4,221,4195.0,3505.0,394.0
4,222,4169.0,3622.0,394.0
4,243,3434.0,3604.0,394.0
4,244,3937.0,3604.0,394.0
4,245,4430.0,3604.0,394.0
4,249,2922.0,3041.0,394.0
4,250,3271.0,3046.0,394.0
4,251,4204.0,3042.0,266.0
4,252,4762.0,3042.0,266.0
4,301,4137.0,3529.0,394.0
4,302,3745.0,3529.0,394.0
4,414,4819.0,3622.0,394.0
4,415,4117.0,3622.0,394.0
4,416,3675.0,3622.0,394.0
4,616,4754.0,3498.0,394.0
4,617,4137.0,3498.0,394.0
4,618,3778.0,3498.0,394.0
4,619,3536.0,3505.0,394.0
4,710,4206.0,3597.0,394.0
4,711,4019.0,3597.0,394.0
4,712,3843.0,3597.0,394.0
4,713,3461.0,3123.0,394.0
4,714,3037.0,3123.0,394.0
4,715,2675.0,3123.0,394.0
4,A10,5103.0,3533.0,394.0
4,A11,4619.0,3533.0,394.0
4,A12,4136.0,3533.0,394.0
4,A49,3113.0,3042.0,266.0
4,A50,3632.0,3042.0,266.0
4,A51,4097.0,3042.0,266.0
4,B12,4214.0,3477.0,445.0
4,B13,4623.0,3477.0,445.0
4,D11,4829.0,3622.0,394.0
4,D12,4768.0,3533.0,394.0
4,D13,4136.0,3533.0,394.0
4,D27,3308.0,3599.0,394.0
4,D28,3819.0,3599.0,394.0
4,D29,4374.0,3423.0,394.0
4,D30,4633.0,3423.0,394.0
4,F12,1633.0,3233.0,339.0
4,F14,801.0,403.0,445.0
4,F15,695.0,410.0,394.0
4,F16,803.0,307.0,394.0
4,F18,1234.0,3674.0,394.0
4,F20,1728.0,3409.0,394.0
4,F21,1893.0,3382.0,394.0
4,F22,2262.0,3401.0,394.0
4,F23,2316.0,3399.0,394.0
4,F24,2465.0,3306.0,445.0
4,F25,2375.0,3423.0,394.0
4,F26,3778.0,3423.0,394.0
4,F27,4011.0,3423.0,394.0
4,G14,4241.0,3597.0,394.0
4,G15,3693.0,3597.0,394.0
4,G16,3132.0,3597.0,394.0
4,G18,2551.0,3597.0,394.0
4,G19,2227.0,3572.0,394.0
4,G20,2227.0,3561.0,3632.0
4,G21,2063.0,3555.0,394.0
4,G22,1884.0,3126.0,394.0
4,G24,1794.0,3119.0,3632.0
4,G26,2056.0,3110.0,445.0
4,G28,1505.0,3107.0,394.0
4,G29,1536.0,3087.0,339.0
4,G30,1535.0,3069.0,394.0
4,G31,1619.0,3065.0,266.0
4,G32,1678.0,3062.0,394.0
4,G33,2121.0,3053.0,394.0
4,G34,2096.0,364.0,266.0
4,G35,2020.0,399.0,394.0
4,G36,1830.0,274.0,394.0
4,J27,4144.0,3046.0,394.0
4,J28,3670.0,3046.0,394.0
4,J29,3342.0,3046.0,394.0
4,J30,3034.0,3059.0,394.0
4,J31,2501.0,3059.0,394.0
4,L01,1048.0,223.0,394.0
4,L02,779.0,345.0,394.0
4,L03,667.0,285.0,394.0
4,L05,715.5,297.0,394.0
4,L06,484.0,433.0,394.0
4,L08,1337.0,3085.0,394.0
4,L10,1502.0,3087.0,339.0
4,L11,1625.5,3081.0,394.0
4,L12,1567.0,3083.0,394.0
4,L13,1666.0,3074.0,3632.0
4,L14,2198.0,3070.0,394.0
4,L15,2942.0,3074.0,266.0
4,L16,3294.0,3074.0,266.0
4,L17,3634.0,3064.0,394.0
4,L20,4431.0,3046.0,394.0
4,L21,4112.0,3046.0,394.0
4,L22,4250.0,3046.0,394.0
4,M06,3966.0,3064.0,394.0
4,M08,3553.0,3064.0,394.0
