service_id,date,exception_type
MQ_C8-Weekday-SDon,20180704,2
MQ_C8-Weekday-SDon,20180706,2
MQ_C8-Weekday-SDon,20180713,2
MQ_C8-Weekday-SDon,20180720,2
MQ_C8-Weekday-SDon,20180727,2
MQ_C8-Weekday-SDon,20180803,2
MQ_C8-Weekday-SDon,20180808,2
MQ_C8-Weekday-SDon,20180809,2
MQ_C8-Weekday-SDon,20180810,2
MQ_C8-Weekday-SDon,20180813,2
MQ_C8-Weekday-SDon,20180814,2
MQ_C8-Weekday-SDon,20180815,2
MQ_C8-Weekday-SDon,20180816,2
MQ_C8-Weekday-SDon,20180817,2
MQ_C8-Weekday-SDon,20180820,2
MQ_C8-Weekday-SDon,20180821,2
MQ_C8-Weekday-SDon,20180822,2
MQ_C8-Weekday-SDon,20180823,2
MQ_C8-Weekday-SDon,20180824,2
MQ_C8-Weekday-SDon,20180827,2
MQ_C8-Weekday-SDon,20180828,2
MQ_C8-Weekday-SDon,20180829,2
MQ_C8-Weekday-SDon,20180830,2
MQ_C8-Weekday-SDon,20180831,2
MQ_C8-Weekday,20180706,1
MQ_C8-Weekday,20180713,1
MQ_C8-Weekday,20180720,1
MQ_C8-Weekday,20180727,1
MQ_C8-Weekday,20180803,1
MQ_C8-Weekday,20180808,1
MQ_C8-Weekday,20180809,1
MQ_C8-Weekday,20180810,1
MQ_C8-Weekday,20180813,1
MQ_C8-Weekday,20180814,1
MQ_C8-Weekday,20180815,1
MQ_C8-Weekday,20180816,1
MQ_C8-Weekday,20180817,1
MQ_C8-Weekday,20180820,1
MQ_C8-Weekday,20180821,1
MQ_C8-Weekday,20180822,1
MQ_C8-Weekday,20180823,1
MQ_C8-Weekday,20180824,1
MQ_C8-Weekday,20180827,1
MQ_C8-Weekday,20180828,1
MQ_C8-Weekday,20180829,1
MQ_C8-Weekday,20180830,1
MQ_C8-Weekday,20180831,1
MQ_C8-Saturday,20180704,1
MV_C8-Weekday-SDon,20180704,2
MV_C8-Weekday-SDon,20180706,2
MV_C8-Weekday-SDon,20180713,2
MV_C8-Weekday-SDon,20180720,2
MV_C8-Weekday-SDon,20180727,2
MV_C8-Weekday-SDon,20180803,2
MV_C8-Weekday-SDon,20180808,2
MV_C8-Weekday-SDon,20180809,2
MV_C8-Weekday-SDon,20180810,2
MV_C8-Weekday-SDon,20180813,2
MV_C8-Weekday-SDon,20180814,2
MV_C8-Weekday-SDon,20180815,2
MV_C8-Weekday-SDon,20180816,2
MV_C8-Weekday-SDon,20180817,2
MV_C8-Weekday-SDon,20180820,2
MV_C8-Weekday-SDon,20180821,2
MV_C8-Weekday-SDon,20180822,2
MV_C8-Weekday-SDon,20180823,2
MV_C8-Weekday-SDon,20180824,2
MV_C8-Weekday-SDon,20180827,2
MV_C8-Weekday-SDon,20180828,2
MV_C8-Weekday-SDon,20180829,2
MV_C8-Weekday-SDon,20180830,2
MV_C8-Weekday-SDon,20180831,2
MV_C8-Weekday,20180706,1
MV_C8-Weekday,20180713,1
MV_C8-Weekday,20180720,1
MV_C8-Weekday,20180727,1
MV_C8-Weekday,20180803,1
MV_C8-Weekday,20180808,1
MV_C8-Weekday,20180809,1
MV_C8-Weekday,20180810,1
MV_C8-Weekday,20180813,1
MV_C8-Weekday,20180814,1
MV_C8-Weekday,20180815,1
MV_C8-Weekday,20180816,1
MV_C8-Weekday,20180817,1
MV_C8-Weekday,20180820,1
MV_C8-Weekday,20180821,1
MV_C8-Weekday,20180822,1
MV_C8-Weekday,20180823,1
MV_C8-Weekday,20180824,1
MV_C8-Weekday,20180827,1
MV_C8-Weekday,20180828,1
MV_C8-Weekday,20180829,1
MV_C8-Weekday,20180830,1
MV_C8-Weekday,20180831,1
MV_C8-Saturday,20180704,1
MV_C8-Saturday-BM,20180703,1
OF_C8-Weekday-SDon,20180704,2
OF_C8-Weekday-SDon,20180706,2
OF_C8-Weekday-SDon,20180713,2
OF_C8-Weekday-SDon,20180720,2
OF_C8-Weekday-SDon,20180727,2
OF_C8-Weekday-SDon,20180803,2
OF_C8-Weekday-SDon,20180808,2
OF_C8-Weekday-SDon,20180809,2
OF_C8-Weekday-SDon,20180810,2
OF_C8-Weekday-SDon,20180813,2
OF_C8-Weekday-SDon,20180814,2
OF_C8-Weekday-SDon,20180815,2
OF_C8-Weekday-SDon,20180816,2
OF_C8-Weekday-SDon,20180817,2
OF_C8-Weekday-SDon,20180820,2
OF_C8-Weekday-SDon,20180821,2
OF_C8-Weekday-SDon,20180822,2
OF_C8-Weekday-SDon,20180823,2
OF_C8-Weekday-SDon,20180824,2
OF_C8-Weekday-SDon,20180827,2
OF_C8-Weekday-SDon,20180828,2
OF_C8-Weekday-SDon,20180829,2
OF_C8-Weekday-SDon,20180830,2
OF_C8-Weekday-SDon,20180831,2
OF_C8-Weekday,20180706,1
OF_C8-Weekday,20180713,1
OF_C8-Weekday,20180720,1
OF_C8-Weekday,20180727,1
OF_C8-Weekday,20180803,1
OF_C8-Weekday,20180808,1
OF_C8-Weekday,20180809,1
OF_C8-Weekday,20180810,1
OF_C8-Weekday,20180813,1
OF_C8-Weekday,20180814,1
OF_C8-Weekday,20180815,1
OF_C8-Weekday,20180816,1
OF_C8-Weekday,20180817,1
OF_C8-Weekday,20180820,1
OF_C8-Weekday,20180821,1
OF_C8-Weekday,20180822,1
OF_C8-Weekday,20180823,1
OF_C8-Weekday,20180824,1
OF_C8-Weekday,20180827,1
OF_C8-Weekday,20180828,1
OF_C8-Weekday,20180829,1
OF_C8-Weekday,20180830,1
OF_C8-Weekday,20180831,1
OF_C8-Saturday,20180704,1
OH_C8-Weekday-SDon,20180704,2
OH_C8-Weekday-SDon-BM,20180703,2
OH_C8-Weekday-SDon,20180706,2
OH_C8-Weekday-SDon-BM,20180705,2
OH_C8-Weekday-SDon,20180713,2
OH_C8-Weekday-SDon-BM,20180712,2
OH_C8-Weekday-SDon,20180720,2
OH_C8-Weekday-SDon-BM,20180719,2
OH_C8-Weekday-SDon,20180727,2
OH_C8-Weekday-SDon-BM,20180726,2
OH_C8-Weekday-SDon,20180803,2
OH_C8-Weekday-SDon-BM,20180802,2
OH_C8-Weekday-SDon,20180808,2
OH_C8-Weekday-SDon-BM,20180807,2
OH_C8-Weekday-SDon,20180809,2
OH_C8-Weekday-SDon-BM,20180808,2
OH_C8-Weekday-SDon,20180810,2
OH_C8-Weekday-SDon-BM,20180809,2
OH_C8-Weekday-SDon,20180813,2
OH_C8-Weekday-SDon-BM,20180812,2
OH_C8-Weekday-SDon,20180814,2
OH_C8-Weekday-SDon-BM,20180813,2
OH_C8-Weekday-SDon,20180815,2
OH_C8-Weekday-SDon-BM,20180814,2
OH_C8-Weekday-SDon,20180816,2
OH_C8-Weekday-SDon-BM,20180815,2
OH_C8-Weekday-SDon,20180817,2
OH_C8-Weekday-SDon-BM,20180816,2
OH_C8-Weekday-SDon,20180820,2
OH_C8-Weekday-SDon-BM,20180819,2
OH_C8-Weekday-SDon,20180821,2
OH_C8-Weekday-SDon-BM,20180820,2
OH_C8-Weekday-SDon,20180822,2
OH_C8-Weekday-SDon-BM,20180821,2
OH_C8-Weekday-SDon,20180823,2
OH_C8-Weekday-SDon-BM,20180822,2
OH_C8-Weekday-SDon,20180824,2
OH_C8-Weekday-SDon-BM,20180823,2
OH_C8-Weekday-SDon,20180827,2
OH_C8-Weekday-SDon-BM,20180826,2
OH_C8-Weekday-SDon,20180828,2
OH_C8-Weekday-SDon-BM,20180827,2
OH_C8-Weekday-SDon,20180829,2
OH_C8-Weekday-SDon-BM,20180828,2
OH_C8-Weekday-SDon,20180830,2
OH_C8-Weekday-SDon-BM,20180829,2
OH_C8-Weekday-SDon,20180831,2
OH_C8-Weekday-SDon-BM,20180830,2
OH_C8-Weekday,20180706,1
OH_C8-Weekday-BM,20180705,1
OH_C8-Weekday,20180713,1
OH_C8-Weekday-BM,20180712,1
OH_C8-Weekday,20180720,1
OH_C8-Weekday-BM,20180719,1
OH_C8-Weekday,20180727,1
OH_C8-Weekday-BM,20180726,1
OH_C8-Weekday,20180803,1
OH_C8-Weekday-BM,20180802,1
OH_C8-Weekday,20180808,1
OH_C8-Weekday-BM,20180807,1
OH_C8-Weekday,20180809,1
OH_C8-Weekday-BM,20180808,1
OH_C8-Weekday,20180810,1
OH_C8-Weekday-BM,20180809,1
OH_C8-Weekday,20180813,1
OH_C8-Weekday-BM,20180812,1
OH_C8-Weekday,20180814,1
OH_C8-Weekday-BM,20180813,1
OH_C8-Weekday,20180815,1
OH_C8-Weekday-BM,20180814,1
OH_C8-Weekday,20180816,1
OH_C8-Weekday-BM,20180815,1
OH_C8-Weekday,20180817,1
OH_C8-Weekday-BM,20180816,1
OH_C8-Weekday,20180820,1
OH_C8-Weekday-BM,20180819,1
OH_C8-Weekday,20180821,1
OH_C8-Weekday-BM,20180820,1
OH_C8-Weekday,20180822,1
OH_C8-Weekday-BM,20180821,1
OH_C8-Weekday,20180823,1
OH_C8-Weekday-BM,20180822,1
OH_C8-Weekday,20180824,1
OH_C8-Weekday-BM,20180823,1
OH_C8-Weekday,20180827,1
OH_C8-Weekday-BM,20180826,1
OH_C8-Weekday,20180828,1
OH_C8-Weekday-BM,20180827,1
OH_C8-Weekday,20180829,1
OH_C8-Weekday-BM,20180828,1
OH_C8-Weekday,20180830,1
OH_C8-Weekday-BM,20180829,1
OH_C8-Weekday,20180831,1
OH_C8-Weekday-BM,20180830,1
OH_C8-Saturday,20180704,1
OH_C8-Saturday-BM,20180703,1
