bike_station,number of OD pair
508,1
3677,73
328,5
146,67
454,574
522,371
387,110
3603,246
3605,77
3559,99
3130,92
174,3
394,221
534,25
266,2
3002,232
309,121
312,7
3403,356
3432,1218
3263,1225
3241,18
410,49
223,320
3412,155
3324,118
3663,93
3319,91
391,92
3674,173
307,297
2005,80
282,109
3067,19
432,256
3396,72
3397,48
3401,130
3629,207
3518,110
3143,20
3438,106
3485,62
326,45
296,22
295,31
350,297
399,170
495,257
479,6
3632,18
3308,158
3398,45
3394,94
3119,77
3122,8
293,100
3418,286
3313,500
418,94
3142,301
369,517
336,33
3551,89
3147,116
3429,190
433,51
3459,703
402,224
262,220
523,302
492,498
3399,150
325,340
3106,168
349,8
380,163
3423,157
476,181
3131,308
445,22
3356,168
422,8
3125,180
3128,176
3615,780
356,134
3350,231
3314,176
3686,218
3466,270
3680,24
285,186
518,74
536,3
3528,174
3616,267
3572,332
3297,225
491,19
504,32
3574,167
3576,62
3300,40
3560,145
3342,104
3669,54
279,36
331,10
3467,97
3260,13
3052,116
3243,290
441,15
393,3
3294,253
509,198
434,1
3140,209
3148,162
3517,53
3524,27
3593,71
274,46
3126,338
3625,101
322,12
3129,5
3069,290
3065,234
469,85
323,66
239,19
364,143
3584,182
3495,51
3151,21
2022,13
3563,7
438,7
3430,35
533,343
465,501
396,53
3141,65
281,51
3121,14
3649,11
3533,218
383,47
447,80
3522,16
306,174
505,197
3284,80
3370,139
3592,7
3171,62
3161,18
3165,55
247,135
152,110
3513,8
3556,14
3666,7
3523,1
3155,366
3641,142
490,728
3073,35
498,12
472,159
499,64
291,98
362,112
3684,100
3135,10
3489,13
304,58
2008,14
3054,105
314,2
355,89
427,7
243,19
478,2
83,187
3490,264
3379,211
403,14
151,133
3102,5
415,2
3409,97
3440,15
167,245
519,137
3346,7
377,22
249,1
385,40
3194,68
400,20
195,127
363,29
3050,41
437,9
319,55
327,3
360,31
3386,108
417,19
330,6
3637,76
414,78
321,5
3509,61
236,36
3244,149
3083,32
426,7
483,11
3108,45
79,14
351,12
259,158
3182,6
3072,5
3042,22
257,2
3087,25
471,3
320,4
467,65
268,56
317,36
3179,15
3048,28
289,4
3382,113
3056,2
3391,10
3074,40
497,42
420,1
267,140
3306,6
3061,10
3043,2
439,2
3066,3
373,1
3453,36
3088,66
3115,12
3461,58
3077,40
3082,22
3090,44
3093,24
3531,20
3689,11
3168,50
3289,19
3307,2
3175,7
3534,126
3431,184
3345,176
3328,12
311,85
3504,37
3536,44
3499,18
460,13
305,32
457,1
3238,5
494,12
3288,5
316,176
3411,59
258,6
3064,49
3062,66
3455,9
529,63
3486,67
3070,16
416,8
3410,5
3100,12
540,95
3414,15
392,7
3347,9
313,12
120,5
411,47
3152,47
3059,7
3421,3
3110,3
407,6
3080,11
343,19
324,54
419,11
421,7
3648,18
241,6
3107,7
2001,8
3361,2
3071,56
3063,2
297,54
3420,5
3413,5
3086,11
376,33
3053,2
127,4
3068,6
3456,12
143,16
301,14
3055,4
3329,1
3688,54
390,17
398,8
3105,2
3321,2
164,30
344,1
157,2
3295,32
3505,71
3383,29
450,26
3134,49
3622,12
537,22
3647,24
3541,57
3341,9
3542,4
3363,3
3146,42
3145,40
3511,6
3285,64
173,34
3529,9
3623,3
3545,3
3283,6
3521,9
3375,21
3164,4
3293,11
3553,8
3282,2
3177,45
3435,21
3060,11
443,4
3242,6
3463,2
308,3
337,1
3544,26
2010,28
3085,7
366,2
3232,3
3384,4
3373,24
507,4
3339,1
244,3
3057,5
487,6
3659,20
503,3
3292,7
513,2
480,1
386,1
3408,5
3335,6
3298,2
310,2
406,5
3417,6
3393,2
3304,4
270,11
397,2
245,3
242,5
3381,4
3449,13
3476,17
3338,10
3376,44
3547,13
3570,7
2003,74
3671,9
3508,3
3425,128
3628,18
3296,3
3496,2
485,13
3305,8
3400,4
3309,2
412,6
474,10
428,2
229,23
488,7
516,2
168,7
3654,14
3221,30
3081,3
3094,2
3402,2
128,1
3358,1
3076,1
254,8
501,4
264,2
379,57
546,22
237,2
477,18
401,8
3123,9
3303,3
353,4
453,23
3427,27
3464,4
3419,2
511,9
345,7
357,74
3113,13
3606,30
531,1
275,5
3096,1
335,7
3660,126
389,3
382,10
3507,3
3538,4
3316,1
347,5
3474,26
3510,20
3144,12
3691,8
3597,1
3041,1
3558,13
3581,15
265,2
3424,10
440,19
3235,5
527,2
526,1
486,5
3378,24
3158,3
468,7
3223,5
3360,11
3150,19
3091,1
3428,2
252,1
3124,2
119,2
3620,2
430,1
435,3
3156,6
3322,1
3245,1
3318,6
3387,3
405,21
462,1
545,3
520,26
3458,5
502,1
446,2
500,20
228,4
3372,22
528,3
3494,29
3568,6
3602,7
3662,1
3364,2
3365,6
455,4
3371,6
3325,2
3404,2
482,5
466,9
3578,2
3340,1
3555,1
3519,6
150,1
315,1
3078,13
2012,5
3047,1
346,1
3447,2
3259,1
3327,23
3336,1
3539,1
3362,2
3170,4
3226,6
3658,3
448,3
3255,1
334,2
251,3
3075,1
449,1
515,1
3357,8
