subway_id,bike_id1,time1,bike_id2,time2,bike_id3,time3,bike_id4,time4,bike_id5,time5
116,3547,170,3541,246,3545,438,3649,447,3540,604
117,3536,71,3552,163,3539,256,3623,362,3383,363
118,3383,62,3366,207,3552,237,3538,279,3357,315
119,3689,156,3350,227,3357,256,3366,256,3331,257
120,3314,43,3307,145,3293,217,3301,376,3350,378
121,3285,122,3177,191,3434,231,3289,347,3293,362
122,3162,119,3360,164,3178,289,3171,342,3177,349
123,3175,133,3167,173,3164,310,3166,313,3159,357
124,3159,144,3158,191,3356,207,3175,377,499,396
125,499,101,457,187,3158,318,468,333,2006,402
126,500,57,173,93,469,167,447,253,468,327
127,465,66,477,170,533,226,362,331,523,337
128,492,16,379,137,490,205,505,219,498,276
129,442,72,379,198,446,249,492,310,494,339
130,446,85,334,193,442,256,453,278,435,298
131,334,144,482,189,168,245,3660,300,223,321
132,223,19,482,164,345,230,383,236,3684,284
133,380,64,369,219,247,289,383,292,368,297
134,347,241,128,274,368,310,3474,350,127,400
135,377,70,248,254,2010,311,3474,311,328,318
136,79,28,249,200,320,213,3664,263,248,320
137,146,78,152,94,3461,176,276,225,417,279
138,417,220,3461,294,3002,329,309,346,319,351
139,195,357,304,384,363,431,2008,440,360,457
140,259,67,427,113,534,145,260,286,304,339
142,427,33,534,114,259,173,260,257,304,271
224,3529,327,3518,567,3622,758,3629,765,3527,774
225,3518,80,3629,266,3527,300,3529,315,3510,346
226,3628,67,3509,96,3511,319,3520,319,3521,338
227,3521,66,3509,206,3374,318,3628,343,3400,397
228,417,131,152,198,3461,250,319,283,330,328
229,316,23,376,70,306,181,264,222,360,232
230,360,31,264,156,376,190,415,217,351,248
231,391,28,322,179,407,243,232,282,406,340
232,3440,72,314,93,232,241,3242,254,322,293
233,3232,154,323,205,390,206,3486,258,324,288
234,298,145,243,165,324,177,3232,221,274,326
235,3429,71,83,94,467,193,298,251,274,303
236,3414,33,3415,150,83,300,467,303,3417,315
237,3418,17,3349,210,3576,227,3663,230,3346,336
238,3583,71,3582,298,3580,306,3581,319,3587,338
239,3584,31,3590,219,3585,268,3582,283,3578,292
241,3585,408,3631,503,3604,534,3590,571,3579,644
242,3604,232,3601,411,3596,596,3631,719,3599,728
248,3585,420,3579,486,3584,523,3631,642,3590,724
418,319,90,195,130,376,199,316,247,264,323
419,195,163,360,263,304,276,319,352,415,358
