taxi_station_id,1st_id,1st_time,2nd_id,2nd_time,3rd_id,3rd_time,4th_id,4th_time,5th_id,5th_time
4,394,73,339,266.0,3632,276.0,445,286.0,266,298.0
7,3603,42,3602,197.0,3605,218.0,3593,281.0,3666,296.0
8,3524,278,3514,400.0,3532,468.0,3513,481.0,3515,615.0
12,2008,262,304,321.0,427,341.0,534,415.0,259,439.0
13,3002,6,363,304.0,327,418.0,309,476.0,195,493.0
25,3412,126,3411,158.0,3410,229.0,3413,298.0,3486,390.0
33,391,142,406,221.0,322,287.0,314,319.0,407,353.0
34,2005,217,343,547.0,282,582.0,3648,619.0,313,712.0
40,3396,107,3386,130.0,3384,312.0,3321,316.0,3388,346.0
42,3529,369,3629,576.0,3518,579.0,3531,599.0,3510,776.0
43,3168,366,3226,491.0,3282,547.0,3170,578.0,3143,584.0
45,355,172,296,240.0,3435,281.0,308,337.0,268,406.0
49,399,129,364,284.0,244,314.0,258,371.0,275,375.0
50,495,73,508,228.0,515,322.0,479,406.0,480,424.0
52,3308,44,3408,170.0,3298,205.0,3303,229.0,3321,309.0
65,323,98,390,153.0,392,258.0,261,323.0,239,374.0
66,414,196,418,198.0,3674,271.0,2000,340.0,2001,516.0
74,3490,188,3495,213.0,3551,242.0,3494,340.0,3491,403.0
79,432,186,317,208.0,445,223.0,3632,272.0,394,279.0
87,195,179,360,212.0,415,307.0,304,308.0,260,327.0
97,262,45,241,232.0,245,241.0,270,273.0,419,375.0
106,3399,130,3373,255.0,3401,317.0,3403,399.0,3404,492.0
107,325,59,461,192.0,503,243.0,297,307.0,3463,351.0
112,3106,209,3108,260.0,3100,471.0,3430,560.0,3095,573.0
125,347,266,328,343.0,3474,343.0,128,361.0,127,437.0
137,476,168,540,177.0,528,270.0,546,324.0,536,367.0
141,3131,153,3141,180.0,3376,231.0,3152,318.0,3447,360.0
142,3356,93,3176,239.0,3159,270.0,3158,302.0,3175,378.0
144,3435,193,151,194.0,268,294.0,531,307.0,251,321.0
145,3125,153,3127,225.0,3124,335.0,3615,377.0,3611,397.0
151,3350,74,3314,345.0,3689,349.0,3328,376.0,3302,455.0
152,3649,356,3541,378.0,3547,383.0,3533,623.0,3545,669.0
158,3686,143,405,172.0,3659,314.0,346,347.0,3472,357.0
161,3466,57,524,222.0,484,234.0,3680,296.0,3233,348.0
164,362,171,267,180.0,485,227.0,533,281.0,505,290.0
166,3536,182,3542,275.0,3539,299.0,3623,318.0,3552,328.0
170,167,133,518,187.0,3431,252.0,476,495.0,440,500.0
181,3297,72,3306,201.0,3365,237.0,3304,258.0,3405,267.0
188,3604,541,3601,720.0,3596,905.0,3631,1028.0,3599,1037.0
189,3574,78,3576,214.0,3558,268.0,3544,335.0,3581,345.0
190,3300,800,3599,803.0,3423,860.0,3354,895.0,3661,1092.0
195,3342,100,3340,220.0,3344,225.0,3393,252.0,3394,263.0
202,3565,958,3646,1096.0,3557,1300.0,3554,1498.0,3620,1918.0
