bike_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
72,903076,116,903087,128,903214,129,402164,159,903074,163
79,401380,64,400913,156,403444,180,403847,217,404863,225
82,404327,54,903054,71,401670,87,402087,95,402088,165
127,404133,29,401568,151,401453,161,401569,181,403313,211
128,404132,34,402022,123,400917,149,400720,154,400719,157
146,401381,62,402120,65,404976,93,404969,150,400910,190
150,403304,61,403303,84,404100,91,402036,94,401625,165
151,400081,41,903130,145,803192,151,400157,167,404916,233
152,803105,81,404107,84,404976,102,803106,103,402120,119
161,403323,230,402024,281,400722,285,401538,287,400154,289
164,401769,92,402681,154,401768,176,405193,177,402175,218
167,402678,52,402677,97,402845,144,401772,199,403253,224
168,404991,51,403914,159,400726,209,903176,254,400331,281
173,404035,39,403797,99,403760,118,400953,150,404846,183
174,405323,27,401691,45,903080,59,401690,113,405396,152
195,400168,99,400071,126,400170,179,400070,244,404225,298
212,405151,43,903232,123,903237,150,405157,160,450222,173
223,405150,72,401294,112,403896,127,400725,239,403895,249
228,402681,50,402185,92,402682,115,402841,142,402174,167
229,400085,105,400154,108,402861,184,402762,210,400083,221
236,401543,59,401784,71,401557,133,401685,158,401544,164
237,404105,59,405340,153,401557,164,401784,165,403526,174
238,401393,184,403876,219,401529,262,401388,272,401608,280
247,401220,105,401531,139,401567,191,401608,196,403876,196
248,403444,231,400915,296,401380,302,403847,317,401379,329
249,404863,31,403444,126,404864,183,401380,228,401381,242
251,402028,139,402864,155,404155,181,400081,230,402863,238
252,400723,125,401536,144,401538,179,400335,221,401535,229
253,402857,62,400333,109,403894,128,401578,131,403893,216
254,400724,58,400725,95,401563,146,401535,171,401564,195
257,400161,74,400159,187,405377,205,403847,221,400913,277
259,803019,37,803002,53,803185,144,803120,145,803184,147
260,405084,100,401664,112,803185,166,803184,167,401802,180
264,401800,124,401667,151,403831,180,401666,212,403754,249
265,401787,123,803109,123,403731,184,402030,203,402760,203
266,401594,44,401627,47,401628,59,401591,121,803177,147
267,400716,97,400933,104,903235,112,401821,140,903217,176
268,400159,214,803192,218,903130,225,400161,273,405269,371
276,404973,138,404969,148,404863,176,401381,182,803147,187
279,401669,124,401797,172,402085,203,404850,225,403590,233
280,400334,59,401562,122,400333,132,401538,152,401561,170
281,400512,80,402446,109,402228,182,803095,185,403047,222
285,401579,87,403906,110,400003,129,403893,141,403556,161
291,402105,31,402095,38,402106,62,402096,87,402094,119
293,404010,32,903048,32,400086,63,401559,83,403793,94
295,401169,59,401793,72,401208,74,401675,79,401168,101
296,405006,91,401210,97,402869,128,402753,145,402870,169
297,403913,57,402856,101,403871,119,404106,130,401191,141
301,402067,90,402034,107,402033,168,401613,184,403320,185
302,401596,13,405260,46,401625,70,401626,117,401595,127
303,400157,104,404916,170,400081,237,405172,249,403311,250
304,400903,63,803164,130,403953,142,400171,143,450335,166
305,405480,97,402224,99,402215,145,404171,154,402214,159
306,403590,135,404850,145,403831,166,401667,229,401800,260
307,404287,74,405165,117,401675,189,402109,190,402092,193
308,402870,71,803077,77,403350,91,405006,99,404857,115
309,803107,126,405063,178,405053,189,402080,196,405065,215
311,403475,113,403317,127,403318,131,401206,136,401150,162
312,403849,37,401681,93,402069,128,401682,177,401787,183
315,401666,210,403754,225,401665,228,401802,269,405337,270
316,403590,241,402082,242,404850,249,903145,257,903146,279
317,401612,177,401657,180,403305,203,402037,228,401548,257
319,400168,122,404108,132,404225,132,400071,199,400166,218
320,405024,106,400913,173,405377,175,400163,215,401380,239
325,403772,56,402670,97,405061,117,401780,166,402856,174
326,401686,55,401556,162,401685,176,404105,194,401610,206
327,405053,99,403878,102,405054,107,803094,129,405063,134
328,404990,214,401379,292,404832,317,403851,326,401301,409
330,402118,79,405052,115,405219,131,400163,143,401808,180
331,904920,73,405359,78,402110,92,402091,96,404843,118
332,402102,68,402100,166,402103,177,803115,194,903025,195
334,401366,44,404244,165,401225,199,405298,204,402127,220
335,400153,53,400154,161,400337,195,400085,196,903048,234
336,400722,200,400719,282,400723,286,401538,307,401536,315
337,401665,65,401802,102,405337,121,403754,147,401666,184
339,401591,114,403443,130,803177,134,401628,172,401589,224
340,402107,32,402093,61,402108,84,402094,95,402092,129
341,401599,99,401600,117,401598,156,403557,238,403808,254
342,401624,39,403380,58,903088,92,405350,199,823252,221
345,400725,65,903176,105,401577,120,403895,146,400726,152
346,403876,58,401393,70,401388,111,401608,119,401220,125
347,403854,73,403853,87,401302,127,404940,210,401301,234
349,404100,249,402034,307,403303,316,903088,327,403319,332
350,401139,56,401150,71,403475,169,401140,183,401149,204
351,401666,89,401667,118,401800,128,403754,146,403831,184
355,403350,233,402869,237,401806,268,402753,275,402868,288
356,401148,142,903088,190,401149,196,403380,199,401140,219
357,400176,171,400001,186,400002,189,400337,230,401559,246
358,401569,51,401568,74,401453,81,403313,81,401570,121
359,402842,109,402841,162,402186,217,400359,218,402843,222
360,401800,225,401666,227,403754,253,400170,284,401667,289
361,405373,39,405320,100,401793,130,401675,152,405165,162
362,903235,47,400716,157,903217,158,400933,164,404039,174
363,405125,6,403397,31,404986,81,404979,118,803108,185
368,400722,75,400919,175,401375,206,400720,217,401373,234
369,400723,87,400722,150,401536,174,401535,194,401564,202
376,403831,201,400168,254,401667,264,401800,274,403590,282
377,400915,103,401379,148,403847,192,400916,196,803160,290
379,401361,56,903085,113,400552,117,401360,168,403769,207
380,401532,43,401372,59,401566,66,401565,73,401531,103
382,401579,41,403893,71,401578,133,402857,199,403906,200
383,401535,93,401533,122,401564,123,401371,143,400724,150
386,401806,60,401808,203,400163,266,403350,274,402870,314
387,401808,64,903145,149,402082,152,405052,170,903146,195
388,401400,55,401401,68,403802,176,903134,196,403547,217
393,402037,39,403305,43,402036,126,403306,154,402038,160
394,403307,56,401549,98,401552,107,402038,111,402039,113
400,404100,137,403303,184,403304,208,402036,247,402034,283
401,403647,70,401679,122,401681,171,403849,197,403319,206
402,400329,106,405231,107,402130,117,400330,199,400007,234
403,401786,59,405130,132,403731,135,402862,148,402762,191
405,405420,152,401387,207,401386,239,405265,279,405133,283
408,402090,155,904920,159,402111,168,405359,174,404844,271
410,402033,102,402067,143,402034,151,401202,208,402032,220
411,401595,47,401626,53,401627,102,401594,106,401596,162
412,401793,152,401168,193,405373,206,405269,216,401675,227
415,405337,99,401802,100,401665,109,403754,125,401666,182
417,404108,100,404225,179,803106,182,404107,200,803107,228
422,401414,68,403986,169,401413,175,403626,186,403992,197
423,401491,84,401492,162,401490,196,403984,244,402233,249
426,402080,75,405065,115,405056,152,405062,169,404973,186
427,803120,47,803184,99,803185,100,403953,134,803121,155
432,401545,90,404094,95,401612,103,401611,106,401657,110
433,803193,72,401194,97,401183,109,401659,118,401610,171
435,403914,73,402152,180,400929,181,404991,223,402128,235
438,401685,58,401544,65,401556,108,401543,166,401545,171
439,401786,104,401785,109,402762,153,402861,180,405098,230
440,402680,39,402679,162,402681,163,402843,180,401769,214
441,403887,123,402175,157,401768,167,401702,190,405193,230
442,401363,42,401364,145,401361,218,400731,238,401227,272
445,401547,34,401554,74,401610,96,401553,125,401548,126
446,401364,45,402127,106,402153,111,404244,112,401226,213
447,401239,49,402167,165,404846,167,404948,220,401492,239
448,404279,44,405512,192,903110,226,401404,228,403192,238
449,401492,44,402166,142,401493,158,401491,204,402194,207
450,404948,56,402194,126,404846,132,401493,148,402166,164
453,401225,110,402126,113,402154,115,401226,126,404881,228
454,401701,105,401702,112,803151,138,402183,149,402175,227
455,401699,68,401698,97,403251,145,403248,162,903046,229
456,400361,20,400362,188,400514,204,400360,208,402172,216
457,803008,19,803007,29,903234,47,405376,65,400745,78
458,903134,46,903133,133,903161,179,404926,232,401401,237
459,903162,64,803150,146,903086,154,405453,159,404329,171
461,401780,53,401779,160,401689,167,402142,176,903226,189
462,401398,44,402124,108,403802,111,403547,121,404161,157
465,404153,80,403354,89,403241,138,403259,142,403240,149
466,400929,135,400731,140,402152,178,400327,223,402128,233
468,405376,115,400745,126,803001,128,404050,130,405393,139
469,400951,79,400950,131,405293,152,401239,169,403760,224
470,401225,49,401224,161,401506,217,402126,228,402154,230
472,400353,170,401824,175,403822,186,403821,192,401842,198
473,402864,176,402757,181,401787,213,803109,230,403647,234
474,400326,43,400325,108,405380,164,400555,205,400327,206
476,402634,35,402674,112,403427,151,403822,154,401775,204
477,401850,29,405374,30,803144,53,403239,86,403552,143
478,903207,34,403486,87,401813,95,903107,166,903110,208
479,401495,59,401496,60,803099,162,401497,165,903078,169
480,401411,39,401412,177,404058,199,402165,225,903076,231
482,405150,103,403896,104,405298,111,401294,129,401223,231
483,400002,73,403526,84,404106,140,402858,146,400003,184
484,405179,14,400516,144,403257,169,403465,180,400518,212
485,450375,1,400519,66,400323,96,400322,102,403456,197
486,400732,124,803082,146,400326,160,403769,182,803083,185
487,405367,68,402054,111,903002,138,402055,198,404099,206
490,401819,78,401848,85,803098,87,401231,88,404847,139
491,403782,66,403316,72,404833,106,402132,133,405272,174
492,401360,48,903085,108,400552,112,404820,117,401847,128
494,401227,53,401226,170,401229,171,402154,220,402126,238
495,401409,40,401408,107,402195,153,401410,166,402165,189
496,400331,55,403894,175,401578,178,402857,190,400330,222
497,404936,124,400331,186,404120,194,401579,210,403893,224
498,403539,43,803083,93,403769,96,803082,120,401821,128
499,401016,30,400860,95,404871,96,903233,142,903209,143
500,403760,126,400951,138,403797,162,404035,163,402167,193
501,404951,84,903028,97,403480,179,404950,235,401696,238
502,401142,49,401147,73,401141,80,402103,103,404922,111
503,400007,76,404936,151,402132,207,403782,224,403772,233
504,401687,38,401688,95,404029,142,401193,144,401183,209
505,403539,64,803083,93,403769,95,401821,103,400933,111
507,401778,52,405323,167,401832,170,401779,178,401691,185
508,903106,82,402161,138,903107,144,403956,222,403954,225
509,404881,75,401506,118,402125,124,402155,134,405316,209
513,401412,58,401413,85,403992,136,403986,148,401411,202
514,903198,103,803055,141,903084,172,903082,186,401812,211
515,401407,64,401853,123,401814,130,401408,172,405512,220
516,401699,143,803151,151,402183,162,401701,204,401769,216
517,403459,58,403804,59,403425,105,404160,137,403457,156
518,401772,51,401771,183,404909,183,401697,184,402678,220
519,403459,34,403804,35,404160,113,403425,134,403254,139
520,400514,24,450123,107,402171,157,400515,187,400361,189
522,803163,56,403424,59,402173,100,402186,151,402841,161
523,403552,62,401232,83,401850,182,405374,203,401358,217
524,400936,65,803081,105,403830,118,803080,120,403242,143
525,403191,34,403816,38,405285,41,803079,106,803131,117
