subway_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
110,404046,0,400449,76,400448,85,404928,127,400426,157
111,400423,10,400453,68,400452,123,400422,135,403440,170
112,400624,26,404918,55,400258,58,400259,98,404066,108
113,400655,29,400619,44,400618,119,400620,173,400816,186
114,403483,33,400613,55,400659,110,404031,121,400612,125
115,400663,39,400609,76,400610,103,400662,117,903236,135
116,403903,64,403763,92,403127,107,403142,122,403126,206
117,403122,36,403147,73,404260,124,403148,136,403454,207
118,400598,39,403119,47,400676,52,403150,69,403118,70
119,403116,6,403153,21,403154,98,403115,108,403152,135
120,401965,105,401934,108,403158,111,405249,114,403112,116
121,403109,3,803166,38,401930,81,403161,99,403162,101
122,401893,27,403523,36,403106,42,403165,57,401024,156
123,405237,39,400854,44,403168,48,903218,56,400751,73
124,400857,10,403491,65,403573,73,405283,75,403512,77
125,401015,70,400861,80,404871,100,403781,108,903233,108
126,403760,73,403797,109,404035,110,402167,140,400951,193
127,404153,19,403259,115,403240,120,401358,137,403354,141
128,401360,38,404820,99,903085,100,400552,104,401847,110
129,401363,34,401361,161,401364,205,401229,224,400732,264
130,402127,14,404244,30,402153,49,401364,108,402126,166
131,405298,79,401366,89,401224,221,404991,233,404244,258
132,405150,62,401294,102,403896,117,403895,239,401575,245
133,401565,60,401566,60,401372,72,401532,82,401373,87
134,404940,50,401375,106,401377,119,401302,160,403853,161
135,401379,67,400915,142,400916,222,403847,231,401380,316
136,401380,26,403444,142,400913,184,404863,211,403847,236
137,404976,12,402120,27,404969,92,401381,104,803106,114
138,803104,191,404108,229,803106,282,803107,295,403399,329
139,400070,125,400069,176,400170,182,400171,264,803164,304
140,803019,54,803002,72,803185,74,803120,75,803121,102
142,803120,36,803184,88,803185,89,403953,123,803121,144
224,401055,33,401069,63,404338,73,401056,144,405014,166
225,402659,44,404334,53,402507,56,803165,92,404336,112
226,404274,39,404341,46,401988,55,404978,162,401045,182
227,404278,108,400224,114,400290,263,400105,269,400225,287
228,400166,92,404107,122,404108,143,803105,152,404225,157
229,403590,249,402082,253,404850,259,903145,268,403831,279
230,401666,210,401800,210,403754,215,400170,248,405337,260
301,404129,79,400242,130,400273,134,400274,150,400067,162
302,400088,29,400065,48,405284,77,803003,77,400087,91
418,400168,48,400071,171,404225,171,404108,217,903146,245
419,400170,3,400070,93,400171,180,400069,232,400168,232
420,400903,51,400171,77,803164,104,403953,130,450335,140
621,403671,49,402458,56,404255,64,402503,68,903075,73
622,402003,9,401992,10,403416,55,405135,80,402004,88
623,402811,58,402704,174,402809,214,402705,260,404079,298
624,401973,57,403417,130,401974,160,404076,179,401947,182
625,403418,20,401941,42,401958,66,401957,109,401942,144
626,403419,18,401905,46,401922,67,401921,87,403434,144
627,404854,33,402826,116,405169,140,402692,144,404860,155
628,903105,39,403422,41,403497,54,402831,57,403506,104
629,404171,49,402835,131,403617,187,402214,194,403545,199
630,803163,55,403424,60,402173,81,402186,152,402841,162
631,403459,33,403804,46,403254,66,403245,93,403425,107
632,401842,123,401824,129,400353,146,403821,180,400352,217
633,403316,143,405380,153,402851,157,402852,228,403782,236
634,402132,54,403782,71,404833,75,400007,79,403316,167
635,403906,40,400003,79,404120,88,403556,111,401579,148
636,903048,31,404010,32,400086,42,403793,74,401559,84
637,400083,76,404155,108,405361,124,400155,126,402862,155
638,400081,22,400157,149,903130,162,803192,168,404916,215
639,400161,237,400159,240,803192,262,903130,269,405377,352
640,401808,26,405052,142,402118,171,903145,213,402082,216
723,403254,7,403245,32,403425,67,403253,94,403459,104
724,403465,93,403257,102,403242,111,400518,125,403805,162
725,404153,29,403259,125,403240,130,803144,142,403354,161
726,403191,27,403816,31,405285,34,803079,89,803131,144
901,404160,23,400561,49,403805,55,403457,76,403804,116
902,403354,40,403259,93,403241,109,403240,118,404153,120
A05,400636,0,400639,13,400635,145,400640,204,400634,345
A06,400643,18,400631,35,400632,73,400644,91,400642,134
A07,400646,15,400628,47,400629,47,400647,128,400809,136
A09,404066,36,400258,76,400624,76,903049,90,404876,98
A10,404949,50,400462,57,404853,83,400414,86,400461,130
A11,400409,66,400267,126,400466,130,403698,148,400248,154
A12,400406,33,405227,68,400468,88,400469,109,400405,131
A14,403776,59,400401,64,400473,70,400472,103,403982,153
A15,402510,59,402656,61,400477,67,404071,73,402509,95
A16,401269,31,401079,75,404245,87,401044,89,404915,94
A17,400486,23,401325,30,903228,40,400390,45,401267,71
A18,401262,27,401328,45,401329,88,401263,89,401261,138
A19,401937,13,401259,58,401331,59,401258,102,401333,164
A20,401254,37,401899,54,401336,61,401337,91,401255,96
A21,404134,22,401868,77,401339,79,404136,87,401252,89
A22,401343,44,402269,67,401344,79,401248,89,403610,94
A24,401015,74,404871,105,400861,111,403781,112,903233,113
A25,402167,44,404846,46,404948,109,401239,134,403760,205
A27,403239,23,401851,54,404919,70,405374,85,401850,88
A28,803098,5,401231,7,401848,20,401819,33,401232,162
A30,401226,29,402154,89,401227,92,402126,97,401225,216
A31,401223,91,401224,100,403897,142,401575,148,401609,240
A32,400723,69,400722,131,401536,155,401535,175,401564,183
A33,400917,48,404132,72,803160,78,401377,161,400916,163
A34,403847,48,400913,141,400915,165,401380,214,400161,297
A36,404107,8,803105,37,400910,92,402119,100,404977,100
A38,402082,186,903145,201,400168,205,903146,214,404225,215
B08,803158,67,402835,112,450051,120,403545,240,402687,264
B10,404992,53,403621,66,402229,78,400941,127,403047,172
D12,401305,157,401287,172,401306,231,400268,240,401286,250
D13,400406,33,405227,68,400468,88,400469,109,400405,131
D14,400951,46,400950,100,405293,121,403760,210,403797,223
D15,400938,30,402191,82,403132,118,402169,140,404043,151
D16,404040,63,403830,81,403242,96,400936,105,403241,136
D17,401821,31,400933,39,400716,40,403539,135,803083,161
D18,400929,22,402152,31,402128,76,403914,157,402127,179
D19,400726,26,903176,72,403895,119,401577,123,404991,134
D20,400723,69,400722,131,401536,155,401535,175,401564,183
D21,402026,9,405361,69,403311,73,400083,108,400155,144
D22,402755,102,402867,117,405269,172,402865,206,405320,237
E01,404108,39,404225,147,404107,168,803105,198,400166,204
F11,405488,33,403887,167,402174,229,402682,231,803163,236
F12,400361,82,400514,106,450123,206,402171,236,400362,252
F14,401787,55,803109,68,402069,102,403731,114,403849,142
F15,403732,30,403318,55,403319,91,403317,166,401206,177
F16,404287,45,402109,108,402092,113,402108,150,405165,152
