taxi_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
3,101707,57,101708.0,59.0,101759.0,63.0,101758.0,90.0,101706.0,150.0
4,401549,21,403307.0,37.0,401552.0,39.0,402039.0,39.0,401589.0,110.0
7,503357,647,504007.0,758.0,505254.0,1082.0,503870.0,1202.0,,inf
8,504007,911,503357.0,1016.0,503870.0,1365.0,505254.0,1463.0,803028.0,2269.0
9,501606,132,501682.0,166.0,501684.0,237.0,501605.0,264.0,501681.0,291.0
10,500674,959,500636.0,967.0,500673.0,1055.0,500637.0,1071.0,500634.0,1147.0
11,300795,92,300910.0,98.0,305525.0,170.0,300911.0,181.0,308438.0,192.0
12,901112,117,901195.0,120.0,901193.0,135.0,901113.0,158.0,404983.0,203.0
13,403399,6,405124.0,83.0,803108.0,113.0,803104.0,150.0,405017.0,257.0
14,301710,207,301612.0,224.0,302999.0,231.0,308254.0,271.0,301611.0,330.0
15,904021,319,504445.0,321.0,501041.0,589.0,503221.0,623.0,504478.0,623.0
16,501825,206,501857.0,216.0,500905.0,228.0,500878.0,233.0,501671.0,249.0
18,101692,36,102227.0,49.0,101774.0,75.0,101773.0,113.0,102262.0,131.0
19,503686,274,502075.0,382.0,504528.0,401.0,502095.0,432.0,502092.0,446.0
20,101238,111,101225.0,115.0,101237.0,236.0,100642.0,261.0,100562.0,266.0
22,300800,12,300905.0,62.0,300906.0,78.0,300801.0,104.0,300799.0,139.0
23,203768,78,203559.0,265.0,203538.0,313.0,203769.0,328.0,202663.0,335.0
25,305611,116,305612.0,173.0,305410.0,196.0,308260.0,206.0,305392.0,220.0
26,301178,83,301289.0,137.0,301177.0,144.0,306520.0,144.0,301290.0,215.0
29,308542,2,308045.0,9.0,300012.0,38.0,300011.0,95.0,305771.0,138.0
33,302358,244,302437.0,276.0,302359.0,289.0,307988.0,319.0,302357.0,335.0
34,901335,276,901332.0,280.0,305191.0,383.0,901336.0,570.0,901331.0,576.0
35,305068,108,306724.0,124.0,305067.0,195.0,306723.0,238.0,305069.0,246.0
37,307157,205,303036.0,228.0,302059.0,230.0,304201.0,258.0,307687.0,264.0
38,500396,84,500403.0,96.0,500397.0,147.0,500401.0,161.0,500395.0,215.0
39,300568,25,300610.0,25.0,301739.0,43.0,301791.0,43.0,801080.0,102.0
40,306062,190,306061.0,224.0,306060.0,346.0,307909.0,348.0,306063.0,368.0
42,401069,114,400236.0,129.0,401055.0,174.0,400279.0,179.0,404113.0,193.0
43,400119,352,401337.0,396.0,401253.0,397.0,401925.0,415.0,401899.0,424.0
45,402869,134,402868.0,145.0,402753.0,170.0,405269.0,237.0,405006.0,285.0
47,101053,146,101032.0,155.0,100764.0,225.0,101052.0,228.0,103266.0,229.0
49,306659,138,303023.0,164.0,303022.0,197.0,303094.0,238.0,303092.0,263.0
50,401409,89,401408.0,156.0,903106.0,166.0,402195.0,202.0,401410.0,215.0
51,103152,210,103674.0,231.0,101727.0,260.0,101747.0,261.0,103081.0,263.0
52,305616,187,305617.0,200.0,306055.0,329.0,305111.0,367.0,305618.0,380.0
53,505044,105,502465.0,119.0,505045.0,186.0,502464.0,241.0,505125.0,267.0
55,302804,171,305687.0,176.0,307953.0,183.0,305688.0,192.0,308304.0,209.0
56,503485,24,503515.0,42.0,503514.0,180.0,503484.0,185.0,503516.0,188.0
58,100960,136,100961.0,163.0,103987.0,168.0,100974.0,206.0,100963.0,217.0
59,101245,165,100763.0,170.0,103599.0,172.0,101218.0,176.0,100754.0,197.0
62,303783,25,303784.0,163.0,303782.0,165.0,308136.0,206.0,303401.0,242.0
63,304533,282,304534.0,285.0,304630.0,293.0,304629.0,303.0,304535.0,387.0
64,500899,346,500900.0,436.0,504432.0,438.0,500885.0,443.0,500901.0,481.0
65,307935,45,306969.0,141.0,302445.0,179.0,801134.0,211.0,308472.0,212.0
66,901328,76,901327.0,260.0,901338.0,274.0,306952.0,283.0,306796.0,288.0
67,300296,13,300403.0,27.0,300297.0,142.0,300295.0,172.0,300089.0,177.0
71,308036,81,303601.0,87.0,303693.0,255.0,303602.0,270.0,303603.0,419.0
72,301749,6,301781.0,22.0,300759.0,43.0,300697.0,101.0,308546.0,105.0
73,501534,166,501569.0,170.0,501535.0,177.0,501570.0,229.0,501536.0,301.0
