taxi_id,lirr1,time1,lirr2,time2,lirr3,time3,lirr4,time4,lirr5,time5
9,21,794,,inf,,inf,,inf,,inf
16,22,661,,inf,,inf,,inf,,inf
25,12,588,,inf,,inf,,inf,,inf
64,23,295,24.0,1333.0,,inf,,inf,,inf
95,10,162,,inf,,inf,,inf,,inf
97,12,828,,inf,,inf,,inf,,inf
122,30,352,,inf,,inf,,inf,,inf
134,11,508,,inf,,inf,,inf,,inf
139,85,794,,inf,,inf,,inf,,inf
145,2,808,1.0,817.0,,inf,,inf,,inf
164,8,654,,inf,,inf,,inf,,inf
171,20,544,,inf,,inf,,inf,,inf
191,31,417,,inf,,inf,,inf,,inf
203,86,824,,inf,,inf,,inf,,inf
205,83,569,,inf,,inf,,inf,,inf
253,17,862,18.0,1509.0,,inf,,inf,,inf
260,9,885,,inf,,inf,,inf,,inf
10,84,1716,,inf,,inf,,inf,,inf
19,33,958,34.0,1196.0,,inf,,inf,,inf
33,12,1535,,inf,,inf,,inf,,inf
34,12,2270,,inf,,inf,,inf,,inf
35,14,1451,,inf,,inf,,inf,,inf
40,12,2003,,inf,,inf,,inf,,inf
49,12,1159,13.0,1683.0,,inf,,inf,,inf
50,8,1393,,inf,,inf,,inf,,inf
52,12,1559,,inf,,inf,,inf,,inf
56,17,1774,,inf,,inf,,inf,,inf
62,13,1086,,inf,,inf,,inf,,inf
65,12,968,,inf,,inf,,inf,,inf
73,19,1094,20.0,1266.0,18.0,1800.0,21.0,2046.0,,inf
83,9,1472,,inf,,inf,,inf,,inf
86,98,1168,99.0,1179.0,97.0,1788.0,,inf,,inf
92,18,988,19.0,1676.0,17.0,1948.0,,inf,,inf
93,17,1314,,inf,,inf,,inf,,inf
106,12,1508,,inf,,inf,,inf,,inf
107,8,1708,,inf,,inf,,inf,,inf
131,30,962,,inf,,inf,,inf,,inf
137,8,1347,1.0,1520.0,,inf,,inf,,inf
158,8,1519,,inf,,inf,,inf,,inf
161,8,1178,,inf,,inf,,inf,,inf
170,1,1264,8.0,1488.0,,inf,,inf,,inf
173,17,1365,,inf,,inf,,inf,,inf
181,12,1589,,inf,,inf,,inf,,inf
189,12,994,13.0,1439.0,,inf,,inf,,inf
196,10,1568,,inf,,inf,,inf,,inf
197,11,1447,15.0,1476.0,,inf,,inf,,inf
219,84,1176,85.0,1625.0,,inf,,inf,,inf
225,13,1695,,inf,,inf,,inf,,inf
226,9,1436,,inf,,inf,,inf,,inf
229,1,2222,,inf,,inf,,inf,,inf
230,8,1041,,inf,,inf,,inf,,inf
234,8,1582,,inf,,inf,,inf,,inf
249,8,1581,,inf,,inf,,inf,,inf
4,1,2358,,inf,,inf,,inf,,inf
7,9,2518,,inf,,inf,,inf,,inf
37,14,2246,13.0,2632.0,,inf,,inf,,inf
38,83,2390,86.0,2587.0,31.0,2675.0,32.0,3181.0,,inf
63,14,1805,,inf,,inf,,inf,,inf
66,12,1804,,inf,,inf,,inf,,inf
72,14,2544,,inf,,inf,,inf,,inf
76,14,2537,,inf,,inf,,inf,,inf
79,1,2628,8.0,2801.0,,inf,,inf,,inf
82,9,2186,,inf,,inf,,inf,,inf
96,14,1916,,inf,,inf,,inf,,inf
98,30,2610,,inf,,inf,,inf,,inf
101,34,2414,33.0,2517.0,,inf,,inf,,inf
112,2,1991,1.0,2107.0,,inf,,inf,,inf
121,11,3009,,inf,,inf,,inf,,inf
125,8,2388,,inf,,inf,,inf,,inf
129,9,2081,,inf,,inf,,inf,,inf
141,1,2966,2.0,3548.0,,inf,,inf,,inf
142,8,2226,,inf,,inf,,inf,,inf
160,10,2121,,inf,,inf,,inf,,inf
175,22,2100,,inf,,inf,,inf,,inf
188,13,1748,,inf,,inf,,inf,,inf
190,12,2334,13.0,2593.0,,inf,,inf,,inf
195,12,3027,,inf,,inf,,inf,,inf
202,1,1633,2.0,2995.0,,inf,,inf,,inf
207,9,2749,,inf,,inf,,inf,,inf
216,15,2568,,inf,,inf,,inf,,inf
224,1,2064,8.0,2454.0,2.0,2818.0,,inf,,inf
255,1,2693,,inf,,inf,,inf,,inf
265,8,1955,,inf,,inf,,inf,,inf
17,13,1428,12,2110,null,inf,null,inf,null,inf
28,15,1148,11,1785,null,inf,null,inf,null,inf
48,8,1169,null,inf,null,inf,null,inf,null,inf
54,12,1905,null,inf,null,inf,null,inf,null,inf
57,17,765,18,1700,null,inf,null,inf,null,inf
61,13,848,null,inf,null,inf,null,inf,null,inf
68,8,675,null,inf,null,inf,null,inf,null,inf
70,17,2330,null,inf,null,inf,null,inf,null,inf
77,14,1111,null,inf,null,inf,null,inf,null,inf
90,8,955,null,inf,null,inf,null,inf,null,inf
100,8,476,null,inf,null,inf,null,inf,null,inf
113,8,1926,null,inf,null,inf,null,inf,null,inf
114,8,2331,null,inf,null,inf,null,inf,null,inf
130,15,1041,30,1943,83,2431,null,inf,null,inf
135,11,2457,10,2491,null,inf,null,inf,null,inf
140,1,3096,2,3691,null,inf,null,inf,null,inf
143,8,2567,null,inf,null,inf,null,inf,null,inf
146,2,1656,1,2015,9,2639,null,inf,null,inf
157,9,2412,null,inf,null,inf,null,inf,null,inf
162,8,1999,1,2171,2,2925,null,inf,null,inf
163,8,1794,null,inf,null,inf,null,inf,null,inf
177,14,706,13,2199,null,inf,null,inf,null,inf
186,8,345,null,inf,null,inf,null,inf,null,inf
192,18,1839,19,2031,20,2071,17,2227,21,2851
193,2,1970,1,1974,null,inf,null,inf,null,inf
215,15,1612,83,2022,30,2777,null,inf,null,inf
217,13,2674,12,2752,null,inf,null,inf,null,inf
218,84,771,85,1653,83,2697,null,inf,null,inf
233,1,1413,8,1952,2,2167,null,inf,null,inf
246,8,885,null,inf,null,inf,null,inf,null,inf
