bike_id,subway1,time1,subway2,time2,subway3,time3,subway4,time4,subway5,time5
79,136,28,A34,202,135,351,137,380,R23,458
83,D24,54,235,94,R31,210,236,321,G36,406
146,137,79,A36,265,136,341,228,381,R24,401
151,638,17,R22,243,M19,316,639,329,D21,331
152,137,88,A36,91,228,207,R24,226,E01,233
161,A32,389,D20,389,637,446,R21,491,D21,531
168,D19,182,131,235,L02,262,D18,318,130,520
173,R15,93,126,102,A25,230,D15,306,D14,353
195,418,129,419,166,R25,184,A38,247,M22,262
223,132,19,L02,257,L01,274,131,321,D19,339
229,637,149,R21,305,636,308,D21,309,R22,421
232,232,221,231,286,R28,305,A40,321,423,332
239,R30,131,R29,313,234,338,233,364,A42,472
243,234,170,R30,281,G36,315,235,371,D24,456
251,R22,234,638,252,D21,270,637,291,M19,318
253,L02,258,L03,310,D19,350,R20,363,635,401
254,L02,204,D19,296,A32,308,D20,308,132,346
257,R23,76,Q01,192,A34,218,639,230,M20,241
260,R27,113,420,248,M23,248,142,257,140,277
264,230,183,229,251,A38,328,M22,345,418,352
265,F14,183,M19,315,D22,406,638,515,637,517
267,D17,120,R17,135,128,317,R16,318,127,401
268,639,44,Q01,80,M20,118,R23,173,638,348
274,G36,100,A43,210,235,305,D24,313,234,314
280,R21,409,L03,412,R20,466,636,473,A32,491
285,L03,20,635,99,R20,140,L05,357,R21,379
298,234,142,235,258,G36,311,R31,337,D24,343
303,R22,174,638,212,D21,326,A33,401,R23,418
304,420,57,R27,136,142,260,M23,299,419,303
306,229,202,A38,284,M22,303,230,358,418,359
309,137,337,138,346,E01,353,A36,372,228,410
310,F20,309,A41,312,A42,323,R29,395,233,396
314,232,84,R28,96,423,160,231,380,A41,390
316,229,22,A38,90,M22,111,418,245,230,276
319,418,92,R25,141,A38,143,M22,154,E01,174
320,136,203,A34,291,A36,375,R23,383,137,396
322,231,173,R28,219,232,266,A40,318,423,347
323,R29,36,A41,95,233,204,423,315,R30,368
324,R30,100,234,185,233,306,A42,378,R29,457
330,R24,164,M21,168,640,208,A36,286,137,306
334,131,145,130,196,D18,409,A31,415,A30,421
337,230,346,M23,349,R27,377,140,434,142,450
353,A43,116,G36,194,235,278,D24,282,R31,378
355,M20,224,Q01,266,639,320,R23,421,M21,422
357,L03,219,R21,228,636,306,635,308,R20,329
360,230,36,M23,220,229,238,419,271,A38,313
361,F16,290,D22,312,F15,440,M18,485,M19,529
362,D17,180,R17,195,R16,253,127,336,128,344
368,A32,204,D20,204,133,304,134,310,A33,428
376,229,77,A38,182,230,196,M22,199,418,206
377,135,71,A34,181,136,368,A33,371,R23,390
379,128,142,129,193,R17,343,D17,357,A28,421
383,132,242,A32,277,D20,277,133,289,L02,384
386,M21,171,640,211,M20,317,Q01,349,639,403
387,640,61,M21,83,R24,290,M22,317,A38,334
390,R29,111,233,207,A41,215,R30,240,423,435
392,A41,224,R29,315,232,392,423,448,R28,483
401,F15,239,M18,305,M19,336,F14,344,D22,421
415,230,245,M23,256,R27,280,419,392,142,424
417,E01,49,228,144,A36,193,138,197,R25,240
435,D18,149,130,291,131,336,D19,344,R19,424
442,129,73,130,249,A30,360,128,375,R18,461
446,130,82,A30,184,129,254,D18,296,131,381
447,A25,111,126,247,D14,287,R14,427,R15,448
457,125,186,A24,189,R14,249,D14,397,B10,412
465,R16,41,127,62,902,81,725,87,D16,158
466,D18,157,R19,332,130,359,R18,365,129,408
468,R14,135,D14,254,126,303,125,335,A24,338
469,D14,86,126,151,R14,226,A25,293,R15,337
470,A31,251,A30,261,131,346,L01,360,130,401
473,M19,231,F14,274,D22,316,F15,424,638,433
