taxi_id,subway_id1,time1,subway_id2,time2,subway_id3,time3,subway_id4,time4,subway_id5,time5
7,R04,227,R05,251,R03,612,R06,735,G19,899
12,420,308,142,341,140,372,R27,432,R26,500
13,138,342,R25,476,139,501,R26,573,418,600
25,A42,417,R31,450,234,483,F20,506,235,606
33,231,112,R28,275,232,407,A40,432,423,480
35,253,209,254,596,252,629,L26,774,L25,935
37,J30,359,J31,439,M09,654,M10,689,J29,809
42,224,177,A14,569,225,658,302,772,A15,926
45,M20,279,Q01,331,639,375,D22,413,R23,476
49,G35,296,G34,304,A44,702,G33,703,G36,830
50,A25,685,R15,760,A27,772,126,873,725,1041
52,F20,429,F21,732,R28,775,423,789,232,849
55,D41,231,D42,368,D40,747,F39,753,D43,853
65,R29,130,A41,177,233,247,232,379,R30,393
85,D28,496,D27,683,244,685,D29,762,245,909
87,419,51,M23,100,230,181,R26,189,139,215
97,G36,490,A43,563,R30,680,G35,760,234,785
106,R33,361,F23,429,F22,487,R32,733,R34,919
107,634,396,L05,412,635,575,R20,588,R19,598
108,N10,167,F38,252,N09,660,F36,718,B23,737
116,114,80,A12,407,D13,407,115,484,113,808
120,A07,521,111,580,A09,690,112,755,A06,977
125,A33,249,134,260,135,418,A34,592,136,703
127,A02,104,108,343,A03,422,107,454,109,892
137,633,353,632,483,634,662,R18,709,R19,848
141,Q03,239,628,320,B08,560,R11,708,629,795
142,124,189,123,468,125,598,A24,601,A22,789
144,638,195,M19,239,M20,325,D22,331,639,333
145,F09,376,719,382,G24,454,G22,467,721,617
151,119,235,120,339,118,635,A18,661,A19,746
158,L01,323,A31,434,132,527,L02,751,133,766
161,D15,244,D16,327,902,409,724,423,R15,451
164,D17,219,R17,234,D16,393,R16,424,128,464
166,117,165,118,513,116,661,A15,867,A16,882
168,619,230,618,250,416,568,617,647,221,669
169,D07,251,D08,468,410,523,409,539,D06,809
170,723,418,631,485,632,640,901,661,724,874
189,237,434,D25,438,236,598,A44,622,S03,667
198,M05,77,M06,533,M04,550,L17,802,L19,846
211,135,278,A34,292,A33,318,R23,442,136,490
229,F11,644,R11,713,629,724,630,916,B08,927
230,R15,79,D15,248,126,274,902,304,127,391
231,137,258,A36,344,228,434,138,435,E01,442
232,F16,137,F15,389,M18,414,D22,554,M19,771
234,R20,44,L03,104,635,171,D19,388,L02,430
239,121,216,122,485,A20,543,A21,714,120,728
244,A09,104,112,134,A10,503,A07,562,113,705
249,133,214,132,330,A32,374,D20,374,L01,386
255,L10,311,L08,323,G29,332,L11,721,M16,742
256,G30,127,M14,173,M13,404,M16,499,G29,524
260,G16,239,G15,427,712,656,711,778,G18,820
261,138,134,E01,350,R25,438,228,449,137,464
265,133,387,134,525,A32,547,D20,547,L01,754
3,503,352,504,942,210,1435,505,1509,502,1578
4,L06,671,L05,1016,636,1023,F14,1101,M18,1147
8,R01,994,R03,1011,R04,1303,R05,1797,R06,2285
11,B19,353,B20,525,B18,838,B21,879,B17,1415
14,R44,560,R43,792,R45,1036,R42,1264,R41,2017
18,D03,364,405,458,D01,691,D04,708,402,983
20,D05,1290,214,1297,D06,1314,213,1349,408,1502
22,B18,261,B19,383,B20,769,B17,838,N05,983
26,B14,540,B15,595,B16,810,B13,943,F30,976
29,D40,138,D41,601,D42,1061,D39,1140,F39,1204
34,M16,1112,M14,1350,G35,1504,G30,1583,G31,1606
39,L29,828,L28,1204,L27,2041,253,2187,252,2330
40,F21,396,F22,717,F20,935,F23,1246,R33,1271
43,A20,477,A21,492,626,770,A19,940,121,958
47,D08,1167,D09,1196,215,1219,411,1221,216,1233
51,502,1050,501,1620,503,1674,504,2646,601,2716
56,706,442,707,702,705,930,708,1148,G12,1215
58,602,1258,603,1366,601,1546,604,1848,606,2232
59,215,714,216,722,214,1242,217,1260,612,1275
62,249,258,241,434,248,489,242,771,250,829
63,J21,246,J20,486,J22,531,J19,844,A54,950
66,F18,272,A40,684,231,1004,A41,1078,R29,1179
67,B18,939,B17,953,N03,1084,N04,1198,B16,1222
71,247,1440,246,1444,245,1870,D31,2306,244,2375
72,252,876,251,956,253,1348,250,1519,L27,1723
74,622,403,623,483,624,914,621,929,226,1021
76,256,907,257,1045,255,1263,L28,1321,L27,1376
78,214,769,215,920,213,1268,D07,1270,D08,1429
79,L06,498,636,728,F14,792,L05,843,R21,863
80,L12,757,L11,870,L14,1028,L13,1100,L10,1254
82,G12,275,G13,567,G11,950,708,1147,709,1155
83,711,895,G14,924,G13,926,710,950,G12,1030
89,D30,205,D29,389,D31,534,D28,851,D32,1029
91,247,1279,246,1868,D33,1925,D34,2027,D32,2291
93,702,1553,G09,1862,G10,1886,705,1895,706,2129
95,G08,353,F07,692,G09,1038,F06,1306,G10,1589
96,J21,918,J22,994,J20,1184,J19,1222,J23,1285
109,S19,685,S18,1190,S20,1679,S17,2258,S21,2654
111,R35,309,R36,830,R34,863,F25,1368,F23,1374
112,G28,788,L11,975,L12,1133,L10,1217,G26,1295
115,S28,546,S29,979,S30,1761,S27,1822,S31,2485
117,H12,138,H13,708,H06,1117,H14,1183,H07,1647
119,413,650,412,834,D10,969,411,1140,414,1179
121,F03,2165,F02,2283,F05,2506,F04,2517,F01,2815
123,D38,266,D37,608,D39,727,F36,1168,F38,1269
124,H03,1523,H01,1622,H02,1622,A61,2253,A60,2425
126,613,1347,614,1517,612,1691,217,1713,218,1786
129,709,782,708,963,G13,1270,710,1274,707,1284
133,F29,457,F30,800,F27,829,D30,846,D29,1097
134,J12,601,G07,810,F06,1077,J13,1112,F05,1137
149,D35,850,D37,911,D38,1177,D34,1472,F35,1643
150,D39,1487,D40,1490,D41,1966,D38,2112,D37,2454
152,116,286,115,552,A15,630,A14,881,114,985
153,106,324,104,539,103,990,107,998,A02,1320
160,M01,1378,G10,1465,G11,1578,G09,1977,G08,2119
167,221,912,219,926,220,950,218,1028,D11,1141
172,S23,1330,S24,1513,S22,1985,S25,2124,S26,2783
173,706,33,707,476,705,511,708,930,702,1148
174,D01,288,402,666,D03,900,401,975,208,1021
176,S21,916,S22,1162,S23,1744,S20,1905,S24,2184
178,F33,449,F34,628,D34,883,F32,912,N07,1068
180,A60,85,A59,545,A61,568,A63,947,A57,1120
181,F24,224,R33,535,F23,726,F25,911,D25,998
182,607,593,608,673,606,856,609,1171,604,1254
183,602,370,601,443,603,615,604,1190,606,1574
185,211,414,505,435,212,824,504,868,210,1194
188,243,201,242,310,244,691,241,789,D27,955
190,D26,575,D27,888,F25,906,F24,1010,F26,1239
194,617,1442,618,1622,616,1743,621,1873,615,2123
195,F22,1048,F21,1413,F23,1577,R33,1622,R34,1732
196,G10,518,G11,967,G09,1171,G08,1566,G12,1613
197,J12,579,J13,809,A65,987,G07,1214,J14,1364
199,R01,3518,617,7458,616,7759,615,8139,614,8746
200,101,1149,103,1441,104,2006,106,2477,402,2653
202,B06,214,721,1675,B04,1718,R06,1819,R08,2094
204,S16,1095,S17,1672,S15,1772,S18,2617,S14,2793
207,R03,1565,R01,1583,G18,1773,G16,1877,R04,1898
216,A65,1486,A64,1728,A63,1854,A61,2098,H01,2188
220,104,192,106,501,103,643,101,1008,107,1153
221,S29,267,S28,645,S30,1049,S31,1773,S27,2625
222,256,1759,257,1891,L28,1967,255,2110,L27,2185
224,L06,282,L05,635,635,954,L03,984,R20,995
225,A48,749,J30,761,J31,763,M11,845,J29,1138
226,714,110,715,311,713,512,716,754,712,1120
228,R40,134,R39,362,R41,547,R36,999,N02,1172
236,625,539,626,558,Q05,797,Q04,831,624,1010
240,101,1108,103,1443,104,1990,402,2085,401,2376
242,505,842,212,1079,606,1185,607,1233,604,1274
247,413,381,414,404,D11,419,D10,485,412,807
250,608,240,607,362,606,692,609,758,604,1095
253,702,633,705,1307,701,1395,706,1803,707,2250
254,208,53,209,544,207,628,210,1026,206,1035
257,F26,576,F25,823,F27,1144,D27,1147,D28,1188
258,J16,402,J15,563,J17,849,A60,1021,J14,1033
259,205,549,204,908,206,980,207,1333,201,1374
10,G06,2949,G05,3021,A65,3285,F04,3437,F03,3475
23,S25,3922,S27,4052,S22,4231,S24,4366,S21,4688
53,701,2636,702,3386,705,4060,706,4556,707,5003
73,701,1692,702,2739,705,3407,706,3897,F02,4387
86,H11,942,H10,1239,H09,1915,H08,2428,H07,3212
92,701,775,702,1722,705,2396,706,2889,707,3339
98,F01,2159,F02,2499,F03,3124,F04,3630,G05,3650
99,S17,5476,S16,5874,S18,6006,S19,7095,S20,8175
103,142,1303,140,1334,420,1346,R27,1421,R26,1580
110,S20,1222,S21,1932,S19,2149,S22,2816,S18,3279
118,S18,2818,S19,3317,S17,3508,S21,3802,S20,4189
122,F01,1667,F02,2265,G05,2658,F03,2915,G06,3111
131,F01,886,F02,1473,F03,2130,G05,2616,F04,2636
138,707,3153,708,3274,706,3516,705,3614,709,3726
184,601,2895,602,3452,603,3775,604,4350,606,4734
201,H15,183,H14,731,H13,1198,H12,1771,H06,2914
205,F01,2799,F02,3100,G05,3294,F03,3707,G06,3747
206,S30,1164,S31,1250,S29,1913,S28,2463,S27,4452
208,602,3114,603,3183,604,3291,601,3364,606,3669
214,S26,1523,S27,1576,S25,2145,S24,2895,S28,3206
245,S29,2800,S30,2860,S27,3068,S28,3332,S31,3413
251,S27,4108,S25,4421,S29,4489,S26,4687,S24,4865
9,701,3104,F01,4085,702,4151,F02,4164,F03,4789
16,701,4495,F01,5357,F02,5544,702,5555,F03,6169
27,H15,4385,H14,4933,H13,5400,D39,7525,D37,7875
38,F01,4410,F02,4919,G05,5119,F03,5532,G06,5572
139,F01,4816,G05,4954,F02,4968,F03,5367,G06,5407
154,H15,6091,D39,6400,H14,6639,D37,6667,D38,6722
171,701,1884,702,2944,705,3612,706,4102,707,4563
175,F01,3699,F02,4039,F03,4664,F04,5170,G05,5190
191,F01,3039,F02,3667,G05,4139,F03,4338,G06,4592
219,G05,4146,G06,4475,F03,4600,F02,4666,A65,4788
252,701,3617,702,4677,705,5345,706,5835,707,6296
15,701,5077,702,6137,705,6805,706,7295,F01,7913
19,F01,4933,F02,5619,F03,6276,G05,6474,F04,6782
64,701,6158,F01,7079,702,7218,F02,7525,F03,8150
156,S30,6063,S29,6166,S31,6307,S27,6610,S28,6698
203,H11,5924,G05,6092,F02,6316,F01,6386,H10,6413
1,S31,22624,S30,22811,S29,23618,S28,24168,S27,26267
101,F01,5651,F02,6337,F03,6994,G05,7370,F04,7500
132,H01,774,H02,774,G06,981,A60,993,A59,999
17,G32,329,G33,376,G34,809,G31,819,null,inf
21,N08,402,B22,513,N09,595,F35,864,B21,952
24,118,244,119,431,A17,567,117,621,A18,758
28,F03,601,F04,658,null,inf,null,inf,null,inf
30,H04,718,H19,771,null,inf,null,inf,null,inf
31,211,1075,null,inf,null,inf,null,inf,null,inf
32,210,321,211,641,209,739,504,1082,null,inf
36,M09,270,L16,375,M08,380,L17,466,L15,733
41,226,306,A16,309,227,551,225,605,A15,669
44,S13,768,S12,1218,null,inf,null,inf,null,inf
48,A25,339,R15,409,126,515,A27,547,D15,622
54,R28,957,231,1042,null,inf,null,inf,null,inf
57,705,130,702,569,706,620,null,inf,null,inf
60,215,462,216,673,612,705,214,771,611,1070
61,A47,596,249,622,250,820,A48,897,null,inf
68,A30,319,129,537,130,585,A28,696,D18,799
69,D10,489,413,746,D09,839,D11,1039,414,1051
75,624,177,623,534,Q05,537,625,636,null,inf
77,255,166,L26,494,256,528,L25,668,254,670
81,502,689,501,867,null,inf,null,inf,null,inf
84,S16,536,null,inf,null,inf,null,inf,null,inf
88,R27,102,142,232,140,252,M23,272,420,276
90,131,120,130,171,D18,375,132,431,A31,434
94,D06,215,D05,312,408,333,407,515,D07,717
100,127,170,725,194,R16,220,128,296,902,303
113,R21,289,L03,347,636,369,R20,401,635,438
114,637,350,D21,424,R21,469,R22,474,A32,479
130,G05,523,F02,715,F03,868,null,inf,null,inf
