"trip_id","arrival_time","departure_time","stop_id","stop_sequence"
"APP_NEQ_2_313_METS","08:58:00","08:58:00","25","0"
"APP_NEQ_2_313_METS","09:01:00","09:01:00","24","1"
"APP_NEQ_2_313_METS","09:03:00","09:03:00","23","2"
"APP_NEQ_2_313_METS","09:06:00","09:06:00","22","3"
"APP_NEQ_2_313_METS","09:09:00","09:09:00","21","4"
"APP_NEQ_2_313_METS","09:11:00","09:11:00","20","5"
"APP_NEQ_2_313_METS","09:13:00","09:13:00","19","6"
"APP_NEQ_2_313_METS","09:15:00","09:15:00","18","7"
"APP_NEQ_2_313_METS","09:16:00","09:16:00","17","8"
"APP_NEQ_2_313_METS","09:23:00","09:23:00","9","9"
"APP_NEQ_2_313_METS","09:34:00","09:34:00","8","10"
"APP_NEQ_2_315_METS","09:38:00","09:38:00","25","0"
"APP_NEQ_2_315_METS","09:41:00","09:41:00","24","1"
"APP_NEQ_2_315_METS","09:43:00","09:43:00","23","2"
"APP_NEQ_2_315_METS","09:46:00","09:46:00","22","3"
"APP_NEQ_2_315_METS","09:49:00","09:49:00","21","4"
"APP_NEQ_2_315_METS","09:51:00","09:51:00","20","5"
"APP_NEQ_2_315_METS","09:53:00","09:53:00","19","6"
"APP_NEQ_2_315_METS","09:55:00","09:55:00","18","7"
"APP_NEQ_2_315_METS","09:56:00","09:56:00","17","8"
"APP_NEQ_2_315_METS","10:05:00","10:05:00","9","9"
"APP_NEQ_2_315_METS","10:15:00","10:15:00","8","10"
"APP_NEQ_2_351_METS","17:49:00","17:49:00","25","0"
"APP_NEQ_2_351_METS","17:52:00","17:52:00","24","1"
"APP_NEQ_2_351_METS","17:54:00","17:54:00","23","2"
"APP_NEQ_2_351_METS","17:57:00","17:57:00","22","3"
"APP_NEQ_2_351_METS","18:04:00","18:04:00","18","4"
"APP_NEQ_2_351_METS","18:05:00","18:05:00","17","5"
"APP_NEQ_2_351_METS","18:12:00","18:12:00","9","6"
"APP_NEQ_2_351_METS","18:23:00","18:23:00","8","7"
"APP_NEQ_2_353_METS","18:20:00","18:20:00","25","0"
