orign,destination,time
132,1,20529.0
132,3,3675.0
132,4,2866.0
132,5,6628.0
132,6,5534.0
132,7,2610.0
132,9,3760.0
132,10,3182.0
132,11,3944.0
132,12,2784.0
132,13,2732.0
132,14,3737.5
132,15,7716.5
132,16,3567.0
132,17,2335.5
132,18,3866.0
132,19,2784.0
132,20,4284.0
132,21,3645.5
132,22,3762.0
132,23,8737.0
132,24,2824.0
132,25,2514.0
132,26,3621.0
132,27,6160.5
132,28,1642.0
132,29,3727.0
132,30,2031.0
132,31,3517.5
132,32,3802.5
132,33,2642.0
132,34,2594.0
132,35,2431.0
132,36,2614.0
132,37,2258.0
132,38,3916.0
132,39,2990.0
132,40,2909.0
132,41,3152.0
132,42,3130.0
132,43,3092.0
132,45,2520.5
132,46,7720.0
132,47,4153.0
132,48,2666.5
132,49,2267.0
132,50,2626.5
132,51,4499.0
132,52,2731.0
132,53,5275.5
132,54,2847.0
132,55,4000.0
132,56,2691.5
132,57,2691.5
132,58,4948.0
132,60,3468.0
132,61,2856.0
132,62,2856.0
132,63,2132.0
132,64,3381.0
132,65,2466.0
132,66,2657.0
132,67,4221.5
132,68,2885.5
132,69,3106.0
132,70,4803.0
132,71,4444.0
132,72,2652.5
132,73,3880.0
132,74,3143.0
132,75,3143.0
132,76,3223.0
132,77,2807.0
132,78,3756.0
132,79,2514.0
132,80,3376.0
132,81,4315.0
132,82,2096.0
132,83,2264.0
132,84,5783.0
132,85,3150.0
132,86,3876.0
132,87,2597.0
132,88,2597.0
132,89,2984.0
132,90,2830.0
132,91,4399.0
132,92,3414.5
132,93,3383.0
132,94,3494.0
132,95,1568.0
132,96,2804.0
132,97,2199.0
132,98,4070.0
132,100,2429.0
132,101,4060.0
132,102,3002.0
132,106,2770.0
132,107,2996.5
132,108,3999.5
132,109,5730.0
132,112,3275.5
132,113,2648.0
132,114,2648.0
132,115,5051.0
132,116,2551.0
132,117,1669.5
132,118,7983.0
132,119,2407.0
132,121,3727.0
132,122,1878.0
132,123,3525.0
132,124,2396.0
132,125,2930.0
132,126,4741.0
132,127,2720.0
132,128,2671.0
132,129,2873.0
132,130,2030.0
132,131,2488.0
132,133,3625.0
132,134,1822.0
132,135,4334.0
132,136,3758.0
132,137,2913.0
132,138,5340.0
132,139,2380.0
132,140,2938.0
132,141,2938.0
132,142,2569.0
132,143,2553.0
132,144,2477.0
132,145,2621.0
132,146,2484.0
132,147,3437.0
132,148,2681.5
132,149,3894.0
132,150,2831.5
132,151,2671.0
132,152,2611.0
132,153,2726.5
132,154,7866.5
132,155,5193.0
132,156,9672.0
132,157,2657.0
132,158,2825.5
132,159,3828.0
132,160,3106.0
132,161,2596.5
132,162,2894.5
132,163,2537.0
132,164,2675.0
132,165,3642.0
132,166,2966.0
132,167,2823.0
132,168,2664.0
132,169,3358.0
132,170,2956.0
132,171,3390.0
132,172,6435.0
132,173,2282.5
132,174,2981.5
132,175,5006.0
132,176,6261.0
132,177,3962.0
132,178,3962.0
132,179,2956.0
132,180,1078.0
132,181,2846.0
132,182,4091.0
132,183,4060.0
132,184,6735.0
132,185,3458.5
132,186,2751.0
132,187,7565.0
132,188,2921.0
132,189,2511.0
132,190,3104.0
132,191,2063.0
132,192,3414.5
132,193,2687.0
132,194,4163.0
132,195,2497.0
132,196,2159.0
132,197,1800.0
132,198,2546.0
132,200,4366.0
132,201,1958.5
132,202,2581.0
132,203,2470.0
132,204,6500.0
132,205,2095.0
132,206,4638.0
132,208,6783.0
132,209,2475.0
132,210,3491.0
132,211,2854.0
132,212,2733.5
132,213,3958.5
132,214,6261.0
132,215,3036.0
132,216,2728.0
132,217,2690.5
132,218,2642.0
132,219,2642.0
132,220,3083.0
132,221,4652.0
132,222,4039.0
132,223,2546.0
132,224,2483.0
132,225,2391.0
132,226,2207.0
132,227,2911.5
132,228,2643.5
132,229,2800.0
132,230,2453.5
132,231,2779.5
132,232,2522.0
132,233,2894.5
132,234,2734.0
132,235,3693.0
132,236,2856.0
132,237,2710.0
132,238,2478.0
132,239,2294.0
132,240,4325.0
132,241,2109.0
132,242,2265.0
132,243,2221.0
132,244,2127.0
132,245,2324.0
132,246,2665.0
132,247,2657.0
132,248,2669.0
132,249,2544.0
132,250,3688.5
132,251,2732.0
132,252,2722.0
132,253,2733.0
132,254,2721.5
132,255,2902.5
132,256,2497.0
132,257,2482.0
132,258,1953.0
132,259,2475.0
132,260,2270.0
132,261,2402.0
132,262,2154.0
132,263,2708.0
