route_id,start_id,end_id,time
1,101S,103S,0:01:30
1,103S,104S,0:01:30
1,104S,106S,0:01:30
1,106S,107S,0:01:30
1,107S,108S,0:01:00
1,108S,109S,0:01:30
1,109S,110S,0:01:30
1,110S,111S,0:01:30
1,111S,112S,0:02:00
1,112S,113S,0:01:30
1,113S,114S,0:02:00
1,114S,115S,0:01:30
1,115S,116S,0:01:30
1,116S,117S,0:02:30
1,117S,118S,0:01:00
1,118S,119S,0:01:00
1,119S,120S,0:02:00
1,120S,121S,0:02:00
1,121S,122S,0:01:00
1,122S,123S,0:01:30
1,123S,124S,0:01:30
1,124S,125S,0:01:30
1,125S,126S,0:02:00
1,126S,127S,0:01:30
1,127S,128S,0:01:30
1,128S,129S,0:01:00
1,129S,130S,0:01:00
1,130S,131S,0:01:00
1,131S,132S,0:01:00
1,132S,133S,0:01:30
1,133S,134S,0:01:30
1,134S,135S,0:02:00
1,135S,136S,0:01:00
1,136S,137S,0:04:00
1,137S,138S,0:04:30
1,138S,139S,0:01:30
1,139S,142S,0:02:00
1,142N,139N,0:02:30
1,139N,138N,0:01:00
1,138N,137N,0:01:00
1,137N,136N,0:01:30
1,136N,135N,0:01:00
1,135N,134N,0:01:30
1,134N,133N,0:01:30
1,133N,132N,0:01:30
1,132N,131N,0:01:00
1,131N,130N,0:01:00
1,130N,129N,0:01:00
1,129N,128N,0:01:30
1,128N,127N,0:01:30
1,127N,126N,0:02:00
1,126N,125N,0:02:00
1,125N,124N,0:01:30
1,124N,123N,0:01:00
1,123N,122N,0:01:30
1,122N,121N,0:01:30
1,121N,120N,0:01:30
1,120N,119N,0:01:30
1,119N,118N,0:01:30
1,118N,117N,0:01:00
1,117N,116N,0:02:00
1,116N,115N,0:02:00
1,115N,114N,0:01:30
1,114N,113N,0:02:00
1,113N,112N,0:02:00
1,112N,111N,0:02:00
1,111N,110N,0:01:30
1,110N,109N,0:01:00
1,109N,108N,0:01:30
1,108N,107N,0:01:30
1,107N,106N,0:01:30
1,106N,104N,0:01:30
1,104N,103N,0:04:30
1,103N,101N,0:04:30
2,201S,204S,0:01:30
2,204S,205S,0:01:30
2,205S,206S,0:01:00
2,206S,207S,0:01:00
2,207S,208S,0:01:30
2,208S,209S,0:01:30
2,209S,210S,0:01:00
2,210S,211S,0:02:00
2,211S,212S,0:01:30
2,212S,213S,0:02:00
2,213S,214S,0:01:30
2,214S,215S,0:02:00
2,215S,216S,0:02:00
2,216S,217S,0:01:30
2,217S,218S,0:01:00
2,218S,219S,0:01:00
2,219S,220S,0:01:30
2,220S,221S,0:02:00
2,221S,222S,0:04:00
2,222S,224S,0:05:00
2,224S,225S,0:01:30
2,225S,226S,0:01:30
2,226S,227S,0:01:00
2,227S,120S,0:06:00
2,120S,121S,0:04:00
2,121S,122S,0:01:00
2,122S,123S,0:01:30
2,123S,124S,0:01:30
2,124S,125S,0:01:30
2,125S,126S,0:02:00
2,126S,127S,0:01:30
2,127S,128S,0:01:30
2,128S,129S,0:01:00
2,129S,130S,0:01:00
2,130S,131S,0:01:00
2,131S,132S,0:01:00
2,132S,133S,0:01:30
2,133S,134S,0:01:30
2,134S,135S,0:02:00
2,135S,136S,0:01:00
2,136S,137S,0:01:00
2,137S,228S,0:01:00
2,228S,229S,0:02:00
2,229S,230S,0:01:00
2,230S,231S,0:04:30
2,231S,232S,0:01:00
2,232S,233S,0:01:30
2,233S,234S,0:03:30
2,234S,235S,0:04:00
2,235S,236S,0:01:00
2,236S,237S,0:01:30
2,237S,238S,0:01:30
2,238S,239S,0:01:30
2,239S,241S,0:03:00
2,241S,242S,0:01:00
2,242S,243S,0:01:30
2,243S,244S,0:10:30
2,244S,245S,0:10:30
2,245S,246S,0:01:30
2,246S,247S,0:02:00
2,247N,246N,0:02:00
2,246N,245N,0:01:00
2,245N,244N,0:01:30
2,244N,243N,0:01:00
2,243N,242N,0:01:30
2,242N,241N,0:02:00
2,241N,239N,0:04:00
2,239N,238N,0:01:30
2,238N,237N,0:01:30
2,237N,236N,0:02:00
2,236N,235N,0:01:00
2,235N,234N,0:03:30
2,234N,233N,0:03:30
2,233N,232N,0:01:30
2,232N,231N,0:01:30
2,231N,230N,0:03:00
2,230N,229N,0:01:00
2,229N,228N,0:02:00
2,228N,137N,0:01:30
2,137N,136N,0:02:00
2,136N,135N,0:01:00
2,135N,134N,0:01:30
2,134N,133N,0:01:30
2,133N,132N,0:01:30
2,132N,131N,0:01:00
2,131N,130N,0:01:00
2,130N,129N,0:01:00
2,129N,128N,0:01:30
2,128N,127N,0:01:30
2,127N,126N,0:02:00
2,126N,125N,0:02:00
2,125N,124N,0:01:30
2,124N,123N,0:01:00
2,123N,122N,0:01:30
2,122N,121N,0:01:30
2,121N,120N,0:01:30
2,120N,227N,0:04:00
2,227N,226N,0:01:00
2,226N,225N,0:01:30
2,225N,224N,0:02:00
2,224N,222N,0:03:30
2,222N,221N,0:02:00
2,221N,220N,0:02:00
2,220N,219N,0:01:30
2,219N,218N,0:01:00
2,218N,217N,0:01:00
2,217N,216N,0:01:30
2,216N,215N,0:02:00
2,215N,214N,0:01:30
2,214N,213N,0:01:30
2,213N,212N,0:02:00
2,212N,211N,0:02:00
2,211N,210N,0:02:00
2,210N,209N,0:01:00
2,209N,208N,0:01:30
2,208N,207N,0:01:30
2,207N,206N,0:01:30
2,206N,205N,0:01:00
2,205N,204N,0:09:30
2,204N,201N,0:10:00
2,120S,123S,0:02:30
2,123S,127S,0:04:00
2,128S,132S,0:02:30
2,132S,137S,0:04:30
2,137N,132N,0:04:00
2,132N,128N,0:02:30
2,127N,123N,0:04:00
2,123N,120N,0:02:30
2,257N,256N,0:01:30
2,256N,255N,0:01:00
2,255N,254N,0:02:00
2,254N,253N,0:01:00
2,253N,252N,0:02:00
2,252N,251N,0:01:30
2,251N,250N,0:03:00
2,250N,249N,0:02:00
2,249N,248N,0:02:00
2,248N,239N,0:03:00
2,239S,248S,0:01:30
2,248S,249S,0:02:00
2,249S,250S,0:05:00
2,250S,251S,0:06:00
2,251S,252S,0:01:30
2,252S,253S,0:02:00
2,253S,254S,0:01:00
2,254S,255S,0:02:00
2,255S,256S,0:01:00
2,256S,257S,0:01:30
3,301S,302S,0:01:30
3,302S,224S,0:02:00
3,224S,225S,0:01:30
3,225S,226S,0:01:30
3,226S,227S,0:01:00
3,227S,120S,0:04:00
3,120S,123S,0:06:30
3,123S,127S,0:08:00
3,127N,123N,0:03:30
3,123N,120N,0:02:30
3,120N,227N,0:04:00
3,227N,226N,0:01:00
3,226N,225N,0:01:30
3,225N,224N,0:01:30
3,224N,302N,0:06:00
3,302N,301N,0:06:00
3,127S,128S,0:01:00
3,128S,132S,0:02:30
3,132S,137S,0:06:00
3,137S,228S,0:02:30
3,228S,229S,0:02:00
3,229S,230S,0:01:00
3,230S,231S,0:04:30
3,231S,232S,0:01:00
3,232S,233S,0:01:30
3,233S,234S,0:01:00
3,234S,235S,0:01:30
3,235S,236S,0:01:00
3,236S,237S,0:01:30
3,237S,238S,0:01:30
3,238S,239S,0:01:30
3,239S,248S,0:01:30
3,248S,249S,0:01:30
3,249S,250S,0:02:00
3,250S,251S,0:02:30
3,251S,252S,0:01:30
3,252S,253S,0:01:30
3,253S,254S,0:01:00
3,254S,255S,0:01:30
3,255S,256S,0:01:30
3,256S,257S,0:01:00
3,257N,256N,0:01:30
3,256N,255N,0:01:00
3,255N,254N,0:01:30
3,254N,253N,0:01:00
3,253N,252N,0:02:00
3,252N,251N,0:01:30
3,251N,250N,0:02:30
3,250N,249N,0:02:00
3,249N,248N,0:01:30
3,248N,239N,0:01:30
3,239N,238N,0:01:30
3,238N,237N,0:01:30
3,237N,236N,0:02:00
3,236N,235N,0:01:00
3,235N,234N,0:01:30
3,234N,233N,0:01:30
3,233N,232N,0:01:30
3,232N,231N,0:01:30
3,231N,230N,0:03:00
3,230N,229N,0:01:00
3,229N,228N,0:02:00
3,228N,137N,0:01:00
3,137N,132N,0:04:00
3,132N,128N,0:02:30
3,128N,127N,0:01:00
4,401S,402S,0:02:00
4,402S,405S,0:01:30
4,405S,406S,0:02:00
4,406S,407S,0:01:00
4,407S,408S,0:01:00
4,408S,409S,0:01:30
4,409S,410S,0:01:30
4,410S,411S,0:01:00
4,411S,412S,0:01:30
4,412S,413S,0:01:30
4,413S,414S,0:02:00
4,414S,415S,0:02:30
4,415S,416S,0:01:30
4,416S,621S,0:02:30
4,621S,626S,0:04:30
4,626S,629S,0:03:30
4,629S,631S,0:02:30
4,631S,635S,0:04:00
4,635S,640S,0:04:30
4,640S,418S,0:01:30
4,418S,419S,0:01:30
4,419S,420S,0:01:00
4,420S,423S,0:05:00
4,423S,234S,0:03:30
4,234S,235S,0:03:30
4,235S,236S,0:01:00
4,236S,237S,0:01:30
4,237S,238S,0:01:30
4,238S,239S,0:01:30
4,239S,248S,0:01:30
4,248S,249S,0:01:30
4,249S,250S,0:12:30
4,250S,251S,0:13:00
4,251S,252S,0:01:30
4,252S,253S,0:01:30
4,253S,254S,0:01:00
4,254S,255S,0:01:30
4,255S,256S,0:01:30
4,256S,257S,0:01:00
4,621S,622S,0:01:30
4,622S,623S,0:01:30
4,623S,624S,0:01:00
4,624S,625S,0:01:30
